Orthogroup	L_sativa.proteins	G_max.proteins
OG0000008	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1	GmISU01.07G091700.1.p
OG0000008	Lsat_1_v5_gn_1_11620.1, Lsat_1_v5_gn_1_11620.3, Lsat_1_v5_gn_1_11600.1, Lsat_1_v5_gn_1_11600.2, Lsat_1_v5_gn_2_107460.1, Lsat_1_v5_gn_2_107460.2, Lsat_1_v5_gn_8_22501.1, Lsat_1_v5_gn_0_27560.1, Lsat_1_v5_gn_0_27560.2, Lsat_1_v5_gn_2_126841.1, Lsat_1_v5_gn_3_123361.3, Lsat_1_v5_gn_3_123361.1	GmISU01.18G174900.1.p, GmISU01.09G219400.2.p, GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p
OG0000011	Lsat_1_v5_gn_6_100741.1	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p
OG0000011	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p
OG0000011	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p
OG0000011	Lsat_1_v5_gn_7_14720.1, Lsat_1_v5_gn_3_60400.3	GmISU01.18G210900.1.p, GmISU01.18G198800.1.p
OG0000015	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p
OG0000015	Lsat_1_v5_gn_9_95221.2, Lsat_1_v5_gn_9_95221.1, Lsat_1_v5_gn_9_95221.3, Lsat_1_v5_gn_7_105821.1	GmISU01.06G220300.1.p, GmISU01.06G220400.1.p, GmISU01.06G220200.2.p, GmISU01.06G220200.3.p, GmISU01.06G220200.1.p, GmISU01.12G118800.1.p, GmISU01.13G246900.3.p, GmISU01.13G246900.6.p, GmISU01.13G246900.4.p, GmISU01.13G246900.1.p, GmISU01.13G246900.2.p, GmISU01.13G246900.5.p
OG0000015	Lsat_1_v5_gn_8_19401.4, Lsat_1_v5_gn_8_19401.6, Lsat_1_v5_gn_7_49320.1, Lsat_1_v5_gn_7_49320.3, Lsat_1_v5_gn_8_19481.2, Lsat_1_v5_gn_8_19481.1, Lsat_1_v5_gn_8_19501.1, Lsat_1_v5_gn_8_19501.3, Lsat_1_v5_gn_8_19521.3, Lsat_1_v5_gn_8_19521.1, Lsat_1_v5_gn_8_19641.3, Lsat_1_v5_gn_8_19641.1, Lsat_1_v5_gn_1_113320.2, Lsat_1_v5_gn_1_113320.1, Lsat_1_v5_gn_1_113320.3, Lsat_1_v5_gn_8_19381.1, Lsat_1_v5_gn_8_19381.2, Lsat_1_v5_gn_3_33700.1, Lsat_1_v5_gn_3_33700.3, Lsat_1_v5_gn_8_142060.1, Lsat_1_v5_gn_8_142060.3, Lsat_1_v5_gn_8_142140.2, Lsat_1_v5_gn_8_142140.1, Lsat_1_v5_gn_7_80960.2, Lsat_1_v5_gn_7_80960.1, Lsat_1_v5_gn_8_19660.3, Lsat_1_v5_gn_8_19660.1, Lsat_1_v5_gn_8_19660.2, Lsat_1_v5_gn_2_113361.1, Lsat_1_v5_gn_6_112280.5, Lsat_1_v5_gn_2_113381.1, Lsat_1_v5_gn_2_113381.2, Lsat_1_v5_gn_2_113381.3, Lsat_1_v5_gn_2_113361.3, Lsat_1_v5_gn_2_113341.3, Lsat_1_v5_gn_2_113341.1	GmISU01.06G218200.1.p
OG0000015	Lsat_1_v5_gn_7_107440.3, Lsat_1_v5_gn_7_107440.1	GmISU01.12G120000.2.p, GmISU01.12G120000.4.p, GmISU01.12G120000.3.p, GmISU01.12G120000.1.p, GmISU01.06G216900.1.p, GmISU01.06G217300.1.p, GmISU01.15G188700.1.p, GmISU01.06G216700.2.p, GmISU01.06G216700.1.p, GmISU01.06G216300.3.p, GmISU01.06G216300.1.p, GmISU01.12G120400.3.p, GmISU01.12G120400.1.p, GmISU01.12G120400.2.p, GmISU01.12G120400.4.p, GmISU01.12G120200.1.p, GmISU01.06G217000.1.p, GmISU01.13G133300.1.p
