"","x"
"1","Dm_00008770-RA"
"2","Dm_00009771-RA"
"3","Dm_00009129-RA"
"4","Dm_00009483-RA"
"5","Dm_00009192-RA"
"6","Dm_00015341-RA"
"7","Dm_00016305-RA"
"8","Dm_00016618-RA"
"9","Dm_00011011-RA"
"10","Dm_00011170-RA"
"11","Dm_00011173-RA"
"12","Dm_00011719-RA"
"13","Dm_00010752-RA"
"14","Dm_00009648-RA"
"15","Dm_00011892-RA"
"16","Dm_00019259-RA"
"17","Dm_00018838-RA"
"18","Dm_00018756-RA"
"19","Dm_00017385-RA"
"20","Dm_00018846-RA"
"21","Dm_00018843-RA"
"22","Dm_00006860-RA"
"23","Dm_00006179-RA"
"24","Dm_00005708-RA"
"25","Dm_00006404-RA"
"26","Dm_00006914-RA"
"27","Dm_00006372-RA"
"28","Dm_00005549-RA"
"29","Dm_00006579-RA"
"30","Dm_00004895-RA"
"31","Dm_00017797-RA"
"32","Dm_00021072-RA"
"33","Dm_00011712-RA"
"34","Dm_00011332-RA"
"35","Dm_00011333-RA"
"36","Dm_00011381-RA"
"37","Dm_00011201-RA"
"38","Dm_00011900-RA"
"39","Dm_00011901-RA"
"40","Dm_00010864-RA"
"41","Dm_00009547-RA"
"42","Dm_00011642-RA"
"43","Dm_00010091-RA"
"44","Dm_00010090-RA"
"45","Dm_00015223-RA"
"46","Dm_00013164-RA"
"47","Dm_00015630-RA"
"48","Dm_00014753-RA"
"49","Dm_00012516-RA"
"50","Dm_00014692-RA"
"51","Dm_00015782-RA"
"52","Dm_00015665-RA"
"53","Dm_00015505-RA"
"54","Dm_00005298-RA"
"55","Dm_00005337-RA"
"56","Dm_00005285-RA"
"57","Dm_00006045-RA"
"58","Dm_00006038-RA"
"59","Dm_00005236-RA"
"60","Dm_00005373-RA"
"61","Dm_00005375-RA"
"62","Dm_00005374-RA"
"63","Dm_00005454-RA"
"64","Dm_00005452-RA"
"65","Dm_00004839-RA"
"66","Dm_00005765-RA"
"67","Dm_00005769-RA"
"68","Dm_00004466-RA"
"69","Dm_00005535-RA"
"70","Dm_00004800-RA"
"71","Dm_00020195-RA"
"72","Dm_00020348-RA"
"73","Dm_00018412-RA"
"74","Dm_00020635-RA"
"75","Dm_00020368-RA"
"76","Dm_00001780-RA"
"77","Dm_00001791-RA"
"78","Dm_00001790-RA"
"79","Dm_00001300-RA"
"80","Dm_00001943-RA"
"81","Dm_00001938-RA"
"82","Dm_00002338-RA"
"83","Dm_00002034-RA"
"84","Dm_00002054-RA"
"85","Dm_00001330-RA"
"86","Dm_00001344-RA"
"87","Dm_00001341-RA"
"88","Dm_00001342-RA"
"89","Dm_00002233-RA"
"90","Dm_00001622-RA"
"91","Dm_00001623-RA"
"92","Dm_00001639-RA"
"93","Dm_00001969-RA"
"94","Dm_00002183-RA"
"95","Dm_00001560-RA"
"96","Dm_00001556-RA"
"97","Dm_00001571-RA"
"98","Dm_00001428-RA"
"99","Dm_00001487-RA"
"100","Dm_00001494-RA"
"101","Dm_00001722-RA"
"102","Dm_00001352-RA"
"103","Dm_00001356-RA"
"104","Dm_00001376-RA"
"105","Dm_00001877-RA"
"106","Dm_00001880-RA"
"107","Dm_00001678-RA"
"108","Dm_00001674-RA"
"109","Dm_00001673-RA"
"110","Dm_00001685-RA"
"111","Dm_00002064-RA"
"112","Dm_00002065-RA"
"113","Dm_00002068-RA"
"114","Dm_00001757-RA"
"115","Dm_00001755-RA"
"116","Dm_00001769-RA"
"117","Dm_00001827-RA"
"118","Dm_00002088-RA"
"119","Dm_00001804-RA"
"120","Dm_00001802-RA"
"121","Dm_00001820-RA"
"122","Dm_00001506-RA"
"123","Dm_00001520-RA"
"124","Dm_00001526-RA"
"125","Dm_00001519-RA"
"126","Dm_00001913-RA"
"127","Dm_00001923-RA"
"128","Dm_00001916-RA"
"129","Dm_00001921-RA"
"130","Dm_00001597-RA"
"131","Dm_00001405-RA"
"132","Dm_00001709-RA"
"133","Dm_00002142-RA"
"134","Dm_00020677-RA"
"135","Dm_00016490-RA"
"136","Dm_00003482-RA"
"137","Dm_00003486-RA"
"138","Dm_00003508-RA"
"139","Dm_00003782-RA"
"140","Dm_00004063-RA"
"141","Dm_00004064-RA"
"142","Dm_00003957-RA"
"143","Dm_00004144-RA"
"144","Dm_00004248-RA"
"145","Dm_00004247-RA"
"146","Dm_00003521-RA"
"147","Dm_00003718-RA"
"148","Dm_00004196-RA"
"149","Dm_00003825-RA"
"150","Dm_00004333-RA"
"151","Dm_00003724-RA"
"152","Dm_00003732-RA"
"153","Dm_00003549-RA"
"154","Dm_00003547-RA"
"155","Dm_00004161-RA"
"156","Dm_00004167-RA"
"157","Dm_00003373-RA"
"158","Dm_00004411-RA"
"159","Dm_00004097-RA"
"160","Dm_00004106-RA"
"161","Dm_00004072-RA"
"162","Dm_00002614-RA"
"163","Dm_00003654-RA"
"164","Dm_00003893-RA"
"165","Dm_00019678-RA"
"166","Dm_00019875-RA"
"167","Dm_00019780-RA"
"168","Dm_00018513-RA"
"169","Dm_00019863-RA"
"170","Dm_00019467-RA"
"171","Dm_00019215-RA"
"172","Dm_00019150-RA"
"173","Dm_00014131-RA"
"174","Dm_00014354-RA"
"175","Dm_00012763-RA"
"176","Dm_00013560-RA"
"177","Dm_00013039-RA"
"178","Dm_00012810-RA"
"179","Dm_00013645-RA"
"180","Dm_00012017-RA"
"181","Dm_00011137-RA"
"182","Dm_00006823-RA"
"183","Dm_00006931-RA"
"184","Dm_00006842-RA"
"185","Dm_00008431-RA"
"186","Dm_00006920-RA"
"187","Dm_00005431-RA"
"188","Dm_00007058-RA"
"189","Dm_00007567-RA"
"190","Dm_00008008-RA"
"191","Dm_00005631-RA"
"192","Dm_00018126-RA"
"193","Dm_00017927-RA"
"194","Dm_00016237-RA"
"195","Dm_00017605-RA"
"196","Dm_00016309-RA"
"197","Dm_00017893-RA"
"198","Dm_00017895-RA"
"199","Dm_00016296-RA"
"200","Dm_00018034-RA"
"201","Dm_00016714-RA"
"202","Dm_00014318-RA"
"203","Dm_00014320-RA"
"204","Dm_00010458-RA"
"205","Dm_00010459-RA"
"206","Dm_00007357-RA"
"207","Dm_00010149-RA"
"208","Dm_00009621-RA"
"209","Dm_00010635-RA"
"210","Dm_00008521-RA"
"211","Dm_00010472-RA"
"212","Dm_00010530-RA"
"213","Dm_00010531-RA"
"214","Dm_00008316-RA"
"215","Dm_00017447-RA"
"216","Dm_00017564-RA"
"217","Dm_00017392-RA"
"218","Dm_00017554-RA"
"219","Dm_00017520-RA"
"220","Dm_00017169-RA"
"221","Dm_00015779-RA"
"222","Dm_00015210-RA"
"223","Dm_00017221-RA"
"224","Dm_00014515-RA"
"225","Dm_00017287-RA"
"226","Dm_00017288-RA"
"227","Dm_00008736-RA"
"228","Dm_00008636-RA"
"229","Dm_00008730-RA"
"230","Dm_00009274-RA"
"231","Dm_00008672-RA"
"232","Dm_00006943-RA"
"233","Dm_00009207-RA"
"234","Dm_00009639-RA"
"235","Dm_00008936-RA"
"236","Dm_00009016-RA"
"237","Dm_00008807-RA"
"238","Dm_00008573-RA"
"239","Dm_00008818-RA"
"240","Dm_00007805-RA"
"241","Dm_00007246-RA"
"242","Dm_00008134-RA"
"243","Dm_00007976-RA"
"244","Dm_00007880-RA"
"245","Dm_00006467-RA"
"246","Dm_00008754-RA"
"247","Dm_00008759-RA"
"248","Dm_00007670-RA"
"249","Dm_00021067-RA"
"250","Dm_00020927-RA"
"251","Dm_00019713-RA"
"252","Dm_00005319-RA"
"253","Dm_00006794-RA"
"254","Dm_00005924-RA"
"255","Dm_00005458-RA"
"256","Dm_00006983-RA"
"257","Dm_00006554-RA"
"258","Dm_00006272-RA"
