"gene_ID","AT_gene_id","annotation"
"Dm_00014879-RA","AT1G48310.1","| Symbols: CHA18, CHR18 | chromatin remodeling factor18 | chr1:17848620-17853731 REVERSE LENGTH=673"
"Dm_00013712-RA","AT2G27900.2","| Symbols: no symbol available | no full name available | chr2:11877654-11885238 FORWARD LENGTH=1124"
"Dm_00014860-RA","AT5G25770.1","| Symbols: no symbol available | no full name available | chr5:8969308-8971389 REVERSE LENGTH=360"
"Dm_00013277-RA","AT5G14550.2","| Symbols: no symbol available | no full name available | chr5:4691633-4693732 REVERSE LENGTH=346"
"Dm_00012315-RA","AT2G31320.1","| Symbols: PARP1 | POLY(ADP-RIBOSE) POLYMERASE 1 | chr2:13354046-13359578 REVERSE LENGTH=983"
"Dm_00014813-RA","AT4G18040.1","| Symbols: AT.EIF4E1, EIF4E, eIF4E1, CUM1 | eukaryotic translation initiation factor 4E, ARABIDOPSIS THALIANA EUKARYOTIC TRANSLATION INITATION FACTOR 4E1, eukaryotic translation Initiation Factor 4E1, CUCUMOVIRUS MULTIPLICATION 1 | chr4:10016724-10018151 REVERSE LENGTH=235"
"Dm_00014724-RA","AT5G12870.1","| Symbols: ATMYB46, MYB46 | myb domain protein 46, MYB DOMAIN PROTEIN 46 | chr5:4062939-4064939 REVERSE LENGTH=280"
"Dm_00014629-RA","AT4G27430.2","| Symbols: CIP7 | COP1-interacting protein 7 | chr4:13718817-13722736 FORWARD LENGTH=1058"
"Dm_00014754-RA","AT4G14760.4","| Symbols: NET1B | Networked 1B | chr4:8475718-8481094 FORWARD LENGTH=1710"
"Dm_00013837-RA","AT2G18360.1","| Symbols: no symbol available | no full name available | chr2:7976848-7979221 REVERSE LENGTH=313"
"Dm_00013598-RA","AT4G16710.4","| Symbols: no symbol available | no full name available | chr4:9398818-9399618 FORWARD LENGTH=176"
"Dm_00014841-RA","AT5G17000.1","| Symbols: no symbol available | no full name available | chr5:5584983-5586991 REVERSE LENGTH=345"
"Dm_00006479-RA","AT3G57570.1","| Symbols: no symbol available | no full name available | chr3:21312598-21320105 FORWARD LENGTH=1092"
"Dm_00006370-RA","AT5G14610.4","| Symbols: RH46 | RNA Helicase 46 | chr5:4711247-4714090 FORWARD LENGTH=500"
"Dm_00005580-RA","AT1G06850.1","| Symbols: AtbZIP52, bZIP52 | basic leucine-zipper 52 | chr1:2105233-2106518 FORWARD LENGTH=337"
"Dm_00006066-RA","AT2G03480.1","| Symbols: QUL2 | QUASIMODO2 LIKE 2 | chr2:1051509-1054090 FORWARD LENGTH=606"
"Dm_00006065-RA","AT1G26520.1","| Symbols: no symbol available | no full name available | chr1:9163448-9165594 REVERSE LENGTH=374"
"Dm_00006069-RA","AT2G03505.3","| Symbols: no symbol available | no full name available | chr2:1064317-1064834 FORWARD LENGTH=118"
"Dm_00006070-RA","AT1G13820.1","| Symbols: no symbol available | no full name available | chr1:4735622-4737617 FORWARD LENGTH=339"
"Dm_00005753-RA","AT5G16280.2","| Symbols: TRAPPC8, TRS85 |  | chr5:5323377-5331345 REVERSE LENGTH=1271"
"Dm_00004802-RA","AT1G64430.2","| Symbols: no symbol available | no full name available | chr1:23933541-23936336 FORWARD LENGTH=559"
"Dm_00006152-RA","AT5G45130.1","| Symbols: RAB5A, RABF2A, ATRAB-F2A, ATRABF2A, RAB-F2A, RHA1, ATRAB5A | ARABIDOPSIS RAB HOMOLOG F2A, RAB homolog 1, RAB HOMOLOG F2A | chr5:18244495-18246060 FORWARD LENGTH=200"
"Dm_00006153-RA","AT4G32350.2","| Symbols: ISTL7 | IST1-LIKE 7 | chr4:15618088-15620642 FORWARD LENGTH=644"
