"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0008150","biological_process",9608,153,117.38,"0.000000029"
"2","GO:0042742","defense response to bacterium",360,14,4.4,"0.00010"
"3","GO:0048586","regulation of long-day photoperiodism, flowering",12,3,0.15,"0.00034"
"4","GO:0045836","positive regulation of meiotic nuclear division",3,2,0.04,"0.00042"
"5","GO:0009416","response to light stimulus",985,29,12.03,"0.00042"
"6","GO:0040008","regulation of growth",159,8,1.94,"0.00063"
"7","GO:0080009","mRNA methylation",4,2,0.05,"0.00083"
"8","GO:0009738","abscisic acid-activated signaling pathway",131,7,1.6,"0.00096"
"9","GO:0009751","response to salicylic acid",135,7,1.65,"0.00115"
"10","GO:0050896","response to stimulus",3956,92,48.33,"0.00135"
"11","GO:0006355","regulation of DNA-templated transcription",810,20,9.9,"0.00150"
"12","GO:0048856","anatomical structure development",2615,52,31.95,"0.00252"
"13","GO:0050794","regulation of cellular process",2545,58,31.09,"0.00260"
"14","GO:0006952","defense response",854,30,10.43,"0.00260"
"15","GO:0001666","response to hypoxia",117,6,1.43,"0.00273"
"16","GO:0009409","response to cold",247,9,3.02,"0.00280"
"17","GO:0010112","regulation of systemic acquired resistance",7,2,0.09,"0.00284"
"18","GO:0009740","gibberellic acid mediated signaling pathway",25,3,0.31,"0.00314"
"19","GO:0006714","sesquiterpenoid metabolic process",27,3,0.33,"0.00392"
"20","GO:0019748","secondary metabolic process",264,9,3.23,"0.00434"
"21","GO:0010565","regulation of cellular ketone metabolic process",58,4,0.71,"0.00498"
"22","GO:0009987","cellular process",7491,121,91.52,"0.00531"
"23","GO:0051716","cellular response to stimulus",1761,40,21.51,"0.00556"
"24","GO:0043255","regulation of carbohydrate biosynthetic process",31,3,0.38,"0.00583"
"25","GO:2000022","regulation of jasmonic acid mediated signaling pathway",10,2,0.12,"0.00595"
"26","GO:0045087","innate immune response",98,5,1.2,"0.00626"
"27","GO:0042537","benzene-containing compound metabolic process",32,3,0.39,"0.00637"
"28","GO:0072330","monocarboxylic acid biosynthetic process",142,6,1.73,"0.00701"
"29","GO:0009725","response to hormone",1021,29,12.47,"0.00750"
"30","GO:0007275","multicellular organism development",2228,41,27.22,"0.00773"
"31","GO:0010114","response to red light",35,3,0.43,"0.00819"
"32","GO:0048589","developmental growth",574,14,7.01,"0.00858"
"33","GO:0010337","regulation of salicylic acid metabolic process",13,2,0.16,"0.01008"
