Orthogroup	A_vesiculosa.proteins	Other
OG0000011	Av_00002197-RA	Bevul.7G111600.1.p
OG0000024	Av_00007869-RA	FUN_011699-T1
OG0000027	Av_00013864-RA, Av_00001746-RA, Av_00017675-RA, Av_00011272-RA, Av_00004078-RA, Av_00023371-RA, Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA, Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA, Av_00009069-RA	FUN_008000-T1
OG0000027	Av_00004078-RA, Av_00023371-RA	AH022296-RA
OG0000027	Av_00004170-RA, Av_00006838-RA, Av_00007948-RA, Av_00015408-RA	AH000640-RA
OG0000027	Av_00001022-RA, Av_00004483-RA, Av_00024230-RA, Av_00011040-RA, Av_00023589-RA, Av_00018214-RA, Av_00017102-RA	AH014409-RA, AH020964-RA
OG0000027	Av_00009069-RA	AH014130-RA
OG0000112	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA	ATCG00860.1, ATCG01280.1
OG0000112	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA	Aqcoe4G301500.1.p, Aqcoe7G225300.1.p, Aqcoe3G207100.1.p
OG0000112	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA	Lsat_1_v5_gn_8_26500.1, Lsat_1_v5_gn_9_42020.1, Lsat_1_v5_gn_9_18701.1, Lsat_1_v5_gn_3_105620.1, Lsat_1_v5_gn_0_15540.1, Lsat_1_v5_gn_7_82600.1, Lsat_1_v5_gn_7_67161.1, Lsat_1_v5_gn_3_13441.1
OG0000112	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA	Solyc09g031840.1.1, Solyc03g080130.1.1, Solyc08g045620.1.1, Solyc10g018980.2.1, Solyc04g050850.2.1, Solyc04g024540.1.1
OG0000112	Av_00019578-RA, Av_00020886-RA, Av_00015155-RA, Av_00018537-RA, Av_00024991-RA	Bevul.2G077600.1.p
OG0000163	Av_00000797-RA, Av_00003444-RA	AH010762-RA
OG0000163	Av_00000797-RA, Av_00003444-RA	FUN_051143-T1
OG0000248	Av_00002684-RA, Av_00005308-RA	FUN_009157-T1
OG0000367	Av_00004876-RA	AT4G35785.2
OG0000367	Av_00004876-RA	Lsat_1_v5_gn_2_75300.1, Lsat_1_v5_gn_2_75300.2, Lsat_1_v5_gn_2_75300.3
OG0000367	Av_00004876-RA	Aqcoe6G225600.4.p, Aqcoe6G225600.5.p, Aqcoe6G225600.1.p
OG0000367	Av_00004876-RA	Solyc02g061840.3.1, Solyc02g083320.3.1, Solyc03g033310.3.1
OG0000367	Av_00004876-RA	VIT_200s0264g00120.1
