"","gene_ID","AT_gene_id","Description","tissue","module","DE_Direction"
"1","Dm_00003204","AT1G15000.1"," serine carboxypeptidase-like 50 ","GlCo",3,"upregulated in prey"
"2","Dm_00003237","AT2G46510.1"," ABA-inducible BHLH-type transcription factor, JA-associated MYC2-like 1 ","GlCo",3,"upregulated in prey"
"3","Dm_00003312","AT1G25450.1"," ECERIFERUM 60, 3-ketoacyl-CoA synthase 5 ","GlCo",3,"upregulated in prey"
"4","Dm_00017323","AT5G45890.1"," senescence-associated gene 12 ","GlCo",3,"upregulated in prey"
"5","Dm_00001115","AT3G25250.1"," AGC2 kinase 1, oxidative signal-inducible1 ","GlCo",3,"upregulated in prey"
"6","Dm_00019366",NA,NA,"GlCo",3,"upregulated in prey"
"7","Dm_00017863","AT1G08280.1"," glycosyltransferase 29A ","GlCo",3,"upregulated in prey"
"8","Dm_00010291","AT1G22640.1"," ARABIDOPSIS THALIANA  MYB DOMAIN PROTEIN 3, myb domain protein 3 ","GlCo",3,"upregulated in prey"
"9","Dm_00000344","AT5G46230.1","  ","GlCo",3,"upregulated in prey"
"10","Dm_00009547",NA,NA,"GlCo",3,"upregulated in prey"
"11","Dm_00001931","AT5G37490.1","  ","GlCo",3,"upregulated in prey"
"12","Dm_00001597","AT1G19180.3"," jasmonate-zim-domain protein 1 ","GlCo",3,"upregulated in prey"
"13","Dm_00004617",NA,NA,"GlCo",3,"upregulated in prey"
"14","Dm_00000425",NA,NA,"GlCo",3,"upregulated in prey"
"15","Dm_00005301","AT4G19460.1"," no full name available ","GlCo",3,"upregulated in prey"
"16","Dm_00021052",NA,NA,"GlCo",3,"upregulated in prey"
"17","Dm_00005144","AT2G28780.1"," no full name available ","GlCo",3,"upregulated in prey"
"18","Dm_00002592","AT1G70420.1"," no full name available ","GlCo",4,"upregulated in prey"
"19","Dm_00015375","AT1G64940.1"," ""cytochrome P450, family 87, subfamily A, polypeptide 6"" ","GlCo",3,"upregulated in prey"
"20","Dm_00002654","AT4G36950.1"," mitogen-activated protein kinase kinase kinase 21 ","GlCo",3,"upregulated in prey"
"21","Dm_00007779","AT1G75450.1"," ARABIDOPSIS THALIANA CYTOKININ OXIDASE 5, CYTOKININ OXIDASE 6, cytokinin oxidase 5 ","GlCo",4,"upregulated in prey"
"22","Dm_00006920","AT2G26710.1"," PHYB ACTIVATION TAGGED SUPPRESSOR 1 ","GlCo",3,"upregulated in prey"
"23","Dm_00017695","AT1G13680.1"," PHOSPHOLIPASE C-LIKE 1 ","GlCo",3,"upregulated in prey"
"24","Dm_00007129","AT5G04760.1"," DIVARICATA2 ","GlCo",4,"upregulated in prey"
"25","Dm_00018126","AT5G54370.1"," no full name available ","GlCo",3,"upregulated in prey"
"26","Dm_00002614","AT1G05260.1"," RARE COLD INDUCIBLE GENE 3, PEROXIDASE 3 ","GlCo",3,"upregulated in prey"
"27","Dm_00004133","AT4G26700.4"," fimbrin 1, ARABIDOPSIS THALIANA FIMBRIN 1 ","GlCo",3,"upregulated in prey"
"28","Dm_00001342","AT2G27920.1"," serine carboxypeptidase-like 51 ","GlCo",3,"upregulated in prey"
"29","Dm_00021072","AT5G45890.1"," senescence-associated gene 12 ","GlCo",3,"upregulated in prey"
"30","Dm_00004650","AT3G61040.1"," ""cytochrome P450, family 76, subfamily C, polypeptide 7"" ","GlCo",3,"upregulated in prey"
