"","gene_ID","AT_gene_id","Description","tissue","module","HigherExpressionIn"
"1","Dm_00018865","AT5G41761.1"," no full name available ","Fl",7,"MechanicalTrigger"
"2","Dm_00006887","AT1G33540.1"," serine carboxypeptidase-like 18 ","Fl",3,"MechanicalTrigger"
"3","Dm_00017526","AT5G09360.1"," laccase 14 ","Fl",3,"MechanicalTrigger"
"4","Dm_00003591","AT4G26670.1"," hypothetical protein 20 ","Fl",10,"MechanicalTrigger"
"5","Dm_00008420","AT3G57830.3"," no full name available ","Fl",10,"MechanicalTrigger"
"6","Dm_00001587","AT3G08860.2"," PYRIMIDINE 4 ","Fl",10,"MechanicalTrigger"
"7","Dm_00012187","AT3G21420.1"," LATERAL BRANCHING OXIDOREDUCTASE 1 ","Fl",10,"MechanicalTrigger"
"8","Dm_00000556",NA,NA,"Fl",10,"MechanicalTrigger"
"9","Dm_00012786","AT5G25390.2"," shine3 ","Fl",10,"MechanicalTrigger"
"10","Dm_00014513","AT1G64390.1"," glycosyl hydrolase 9C2 ","Fl",9,"MechanicalTrigger"
"11","Dm_00005879","AT1G15960.1"," NRAMP metal ion transporter 6 ","Fl",4,"PreyTrigger"
"12","Dm_00003477","AT4G34760.1"," SMALL AUXIN UPREGULATED RNA 50 ","Fl",10,"MechanicalTrigger"
"13","Dm_00016865","AT3G22370.1"," hyper-sensitivity-related 3, alternative oxidase 1A ","Gl",10,"MechanicalTrigger"
"14","Dm_00016567","AT4G09810.1"," UDP-Rha/UDP-Gal transporter 5 ","Gl",4,"PreyTrigger"
"15","Dm_00005149","AT3G62550.1"," no full name available ","Gl",10,"MechanicalTrigger"
"16","Dm_00012786","AT5G25390.2"," shine3 ","Gl",10,"MechanicalTrigger"
"17","Dm_00017407","AT5G62150.1"," no full name available ","Gl",6,"MechanicalTrigger"
"18","Dm_00002777","AT1G68360.1"," GLABROUS INFLORESCENCE STEMS 3 ","GlCo",3,"MechanicalTrigger"
"19","Dm_00003237","AT2G46510.1"," ABA-inducible BHLH-type transcription factor, JA-associated MYC2-like 1 ","GlCo",3,"PreyTrigger"
"20","Dm_00003312","AT1G25450.1"," ECERIFERUM 60, 3-ketoacyl-CoA synthase 5 ","GlCo",3,"PreyTrigger"
"21","Dm_00016865","AT3G22370.1"," hyper-sensitivity-related 3, alternative oxidase 1A ","GlCo",10,"MechanicalTrigger"
"22","Dm_00003948","AT2G27690.1"," ""cytochrome P450, family 94, subfamily C, polypeptide 1"" ","GlCo",3,"PreyTrigger"
"23","Dm_00001819","AT3G17100.2"," ATBS1 Interacting Factor 3 ","GlCo",3,"PreyTrigger"
"24","Dm_00002159","AT5G54830.1"," no full name available ","GlCo",4,"PreyTrigger"
"25","Dm_00002759","AT5G66920.1"," SKU5  similar 17 ","GlCo",4,"PreyTrigger"
"26","Dm_00000118","AT1G20190.1"," EXPANSIN  11, expansin 11 ","GlCo",3,"MechanicalTrigger"
"27","Dm_00007129","AT5G04760.1"," DIVARICATA2 ","GlCo",4,"PreyTrigger"
"28","Dm_00019713","AT1G04240.1"," SHORT HYPOCOTYL 2, indole-3-acetic acid inducible 3 ","GlCo",3,"MechanicalTrigger"
"29","Dm_00010742","AT1G23870.1"," trehalose-phosphatase/synthase 9, TREHALOSE -6-PHOSPHATASE SYNTHASE S9 ","GlCo",3,"PreyTrigger"
"30","Dm_00001602","AT1G15080.1"," PHOSPHATIDIC ACID PHOSPHATASE 2, LIPID PHOSPHATE PHOSPHATASE 2, lipid phosphate phosphatase 2 ","GlCo",3,"PreyTrigger"
"31","Dm_00020075",NA,NA,"GlCo",3,"MechanicalTrigger"
"32","Dm_00007095","AT2G16250.1"," no full name available ","GlIn",4,"PreyTrigger"
"33","Dm_00003237","AT2G46510.1"," ABA-inducible BHLH-type transcription factor, JA-associated MYC2-like 1 ","GlIn",3,"PreyTrigger"
"34","Dm_00003312","AT1G25450.1"," ECERIFERUM 60, 3-ketoacyl-CoA synthase 5 ","GlIn",3,"PreyTrigger"
"35","Dm_00005048","AT1G15520.1"," pleiotropic drug resistance 12, ATP-binding cassette G40, PLEIOTROPIC DRUG RESISTANCE 12, Arabidopsis thaliana ATP-binding cassette G40 ","GlIn",3,"PreyTrigger"
"36","Dm_00001819","AT3G17100.2"," ATBS1 Interacting Factor 3 ","GlIn",3,"PreyTrigger"
"37","Dm_00002159","AT5G54830.1"," no full name available ","GlIn",4,"PreyTrigger"
"38","Dm_00002759","AT5G66920.1"," SKU5  similar 17 ","GlIn",4,"PreyTrigger"
"39","Dm_00000118","AT1G20190.1"," EXPANSIN  11, expansin 11 ","GlIn",3,"MechanicalTrigger"
"40","Dm_00002855","AT1G70140.1"," formin 8, FORMIN HOMOLOGUE 8 ","GlIn",4,"PreyTrigger"
"41","Dm_00007129","AT5G04760.1"," DIVARICATA2 ","GlIn",4,"PreyTrigger"
"42","Dm_00008480","AT3G13340.3"," no full name available ","GlIn",4,"PreyTrigger"
"43","Dm_00008933","AT3G59770.1"," ARABIDOPSIS THALIANA SUPPRESSOR OF ACTIN 9, SUPPRESSOR OF ACTIN 9, MURUS 11 ","GlIn",2,"PreyTrigger"
"44","Dm_00010003","AT5G21170.1","  ","GlIn",3,"PreyTrigger"
"45","Dm_00004034","AT1G09970.1"," receptor-like kinase 7 ","GlIn",4,"PreyTrigger"
"46","Dm_00009307","AT1G64280.1"," NONEXPRESSER OF PR GENES 1, SALICYLIC ACID INSENSITIVE 1, NON-INDUCIBLE IMMUNITY 1, ARABIDOPSIS NONEXPRESSER OF PR GENES 1 ","GlIn",3,"PreyTrigger"
