Orthogroup	D_spatulata.proteins	A_coerulea.proteins
OG0000008	Ds_00005008-RA	Aqcoe5G395200.1.p, Aqcoe5G128900.1.p
OG0000011	Ds_00013568-RA	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p
OG0000011	Ds_00015633-RA	Aqcoe5G458900.1.p, Aqcoe3G339400.2.p, Aqcoe3G339400.1.p, Aqcoe3G312000.1.p
OG0000011	Ds_00014454-RA, Ds_00015367-RA	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p
OG0000018	Ds_00006689-RA	Aqcoe2G373300.1.p
OG0000018	Ds_00015426-RA	Aqcoe5G029400.1.p, Aqcoe5G029300.1.p
OG0000021	Ds_00002132-RA	Aqcoe0158s0001.1.p
OG0000021	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p
OG0000022	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA	Aqcoe5G366100.1.p
OG0000022	Ds_00003849-RA, Ds_00003832-RA, Ds_00007689-RA, Ds_00013775-RA, Ds_00009114-RA, Ds_00005092-RA	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p
OG0000023	Ds_00012138-RA, Ds_00005184-RA, Ds_00006219-RA	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p
OG0000023	Ds_00016053-RA	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p
OG0000024	Ds_00010656-RA, Ds_00010658-RA, Ds_00010657-RA	Aqcoe4G121400.1.p
OG0000024	Ds_00007357-RA, Ds_00007354-RA, Ds_00014538-RA	Aqcoe4G138900.1.p, Aqcoe4G137400.1.p, Aqcoe4G136900.1.p, Aqcoe4G121600.1.p, Aqcoe4G122100.1.p, Aqcoe4G138000.1.p, Aqcoe5G329900.1.p, Aqcoe4G232800.1.p, Aqcoe4G232800.3.p, Aqcoe4G232800.2.p, Aqcoe4G261600.1.p, Aqcoe4G261400.1.p, Aqcoe4G121300.1.p, Aqcoe4G121900.1.p, Aqcoe4G137900.1.p, Aqcoe4G136800.1.p, Aqcoe4G122000.1.p, Aqcoe4G140000.1.p, Aqcoe4G139300.1.p, Aqcoe4G140300.1.p
OG0000025	Ds_00000314-RA, Ds_00008906-RA, Ds_00008905-RA, Ds_00011235-RA	Aqcoe6G170300.1.p, Aqcoe5G228100.1.p, Aqcoe5G228300.1.p, Aqcoe5G228600.1.p, Aqcoe5G228500.1.p, Aqcoe5G228200.1.p, Aqcoe5G228900.1.p, Aqcoe5G229100.1.p, Aqcoe6G170200.1.p, Aqcoe5G228400.2.p, Aqcoe5G228400.1.p, Aqcoe5G230100.1.p, Aqcoe6G178000.1.p, Aqcoe5G229800.1.p
OG0000026	Ds_00006582-RA, Ds_00001373-RA, Ds_00007462-RA, Ds_00016878-RA, Ds_00016880-RA, Ds_00001750-RA, Ds_00002475-RA, Ds_00016879-RA, Ds_00016881-RA, Ds_00001374-RA, Ds_00018009-RA, Ds_00018041-RA, Ds_00015619-RA	Aqcoe4G298300.1.p, Aqcoe4G237300.1.p, Aqcoe5G394600.1.p
