,target_id,AT_gene_id,Symbol,Description,Position
1,Dm_00000118-RA,AT1G20190.1," Symbols: EXPA11, ATHEXP ALPHA 1.14, ATEXP11, EXP11, ATEXPA11 "," EXPANSIN  11, expansin 11 ", chr1:6998762-6999710 REVERSE LENGTH=252
2,Dm_00004725-RA,AT3G23410.1," Symbols: ATFAO3, FAO3 "," ARABIDOPSIS FATTY ALCOHOL OXIDASE 3, fatty alcohol oxidase 3 ", chr3:8382860-8386024 FORWARD LENGTH=746
3,Dm_00007129-RA,AT5G04760.1, Symbols: DIV2 , DIVARICATA2 , chr5:1373752-1374529 REVERSE LENGTH=215
4,Dm_00010333-RA,AT5G45340.1, Symbols: CYP707A3 ," ""cytochrome P450, family 707, subfamily A, polypeptide 3"" ", chr5:18368977-18370909 REVERSE LENGTH=463
5,Dm_00012187-RA,AT3G21420.1, Symbols: LBO1 , LATERAL BRANCHING OXIDOREDUCTASE 1 , chr3:7541579-7543221 FORWARD LENGTH=364
6,Dm_00012381-RA,AT5G46910.1, Symbols: JMJ13 , JUMONJI 13 , chr5:19046888-19050880 FORWARD LENGTH=787
7,Dm_00002759-RA,AT5G66920.1, Symbols: sks17 , SKU5  similar 17 , chr5:26722963-26725370 FORWARD LENGTH=546
8,Dm_00008368-RA,AT4G13710.1, Symbols: no symbol available , no full name available , chr4:7962550-7966012 FORWARD LENGTH=470
9,Dm_00001234-RA,AT1G20190.1," Symbols: EXPA11, ATHEXP ALPHA 1.14, ATEXP11, EXP11, ATEXPA11 "," EXPANSIN  11, expansin 11 ", chr1:6998762-6999710 REVERSE LENGTH=252
10,Dm_00001247-RA,AT2G47730.2," Symbols: GST6, GSTF8, ATGSTF8, ATGSTF5 "," glutathione S-transferase phi 8, Arabidopsis thaliana glutathione S-transferase phi 8, GLUTATHIONE S-TRANSFERASE (CLASS PHI) 5 ", chr2:19558213-19559266 FORWARD LENGTH=263
