Orthogroup	V_vinifera.proteins	B_vulgaris.proteins
OG0000008	VIT_207s0141g00780.1	Bevul.5G243000.1.p
OG0000011	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1, VIT_217s0000g02390.1, VIT_217s0000g02370.1	Bevul.9G145000.1.p
OG0000011	VIT_214s0108g00370.1, VIT_214s0066g02660.1, VIT_214s0066g02670.1, VIT_214s0066g02680.1, VIT_210s0042g00590.1, VIT_210s0042g00770.1, VIT_210s0042g00600.1, VIT_210s0042g00700.1, VIT_214s0108g00340.1, VIT_214s0108g00300.1, VIT_214s0108g00280.1, VIT_214s0108g00310.1, VIT_204s0079g00240.1	Bevul.3G168100.1.p
OG0000011	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1	Bevul.7G111500.1.p, Bevul.7G111300.1.p
OG0000015	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1	Bevul.8G062600.1.p
OG0000016	VIT_213s0067g00470.1	Bevul.3G098500.1.p, Bevul.3G063500.1.p
OG0000016	VIT_216s0098g00430.1	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p
OG0000016	VIT_213s0067g00490.1	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p, Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p
OG0000018	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1	Bevul.6G029800.1.p, Bevul.3G012700.1.p, Bevul.3G012800.1.p
OG0000018	VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1	Bevul.3G094700.1.p, Bevul.3G094800.1.p, Bevul.6G052200.1.p, Bevul.3G190300.1.p
OG0000018	VIT_205s0049g00430.1	Bevul.3G188900.1.p, Bevul.3G012200.1.p, Bevul.3G012300.1.p, Bevul.3G012500.1.p, Bevul.3G012400.1.p
OG0000018	VIT_207s0005g03060.1	Bevul.5G246300.1.p
OG0000021	VIT_215s0048g01515.1, VIT_215s0048g01500.1, VIT_215s0048g01490.1, VIT_215s0048g01470.1, VIT_215s0048g01440.1, VIT_215s0048g01530.1, VIT_215s0048g01600.1, VIT_202s0012g02810.1, VIT_202s0012g02820.1, VIT_203s0097g00460.1	Bevul.5G145300.1.p, Bevul.1G126100.1.p, Bevul.1G126200.1.p, Bevul.1G126300.1.p, Bevul.1G126500.1.p, Bevul.1G126400.1.p, Bevul.2G184100.1.p, Bevul.9G220700.1.p, Bevul.9G220500.1.p, Bevul.9G220600.1.p, Bevul.9G219000.1.p, Bevul.1G207900.1.p, Bevul.1G207800.1.p
OG0000022	VIT_205s0020g01630.1, VIT_205s0020g01640.1, VIT_205s0020g01643.1	Bevul.7G006300.1.p
OG0000022	VIT_213s0084g00030.1	Bevul.4G114700.1.p
OG0000022	VIT_207s0031g01450.1	Bevul.1G097600.1.p
OG0000023	VIT_203s0088g00260.3, VIT_203s0088g00260.2, VIT_203s0088g00260.1	Bevul.9G223400.1.p
OG0000023	VIT_218s0001g08840.1	Bevul.1G009300.1.p
OG0000024	VIT_219s0027g00030.1, VIT_219s0135g00200.1, VIT_219s0135g00150.4, VIT_219s0135g00120.1, VIT_219s0135g00130.2, VIT_219s0015g02500.3	Bevul.5G208100.1.p, Bevul.5G208400.1.p, Bevul.5G208500.1.p, Bevul.1G056100.1.p
