row_name,Time,Replicate,Prey
LeafTrap_Time0_rep1,0,1,1
LeafTrap_Time0_rep2,0,1,1
LeafTrap_Time0_rep3,0,1,1
LeafTrap_Time0_rep4,0,1,1
LeafTrap_Time5_rep1,5,2,1
LeafTrap_Time5_rep2,5,2,1
LeafTrap_Time5_rep3,5,2,1
LeafTrap_Time5_rep4,5,2,1
LeafTrap_Time60_rep1,60,3,1
LeafTrap_Time60_rep2,60,3,1
LeafTrap_Time60_rep3,60,3,1
LeafTrap_Time60_rep4,60,3,1
LeafTrap_Time180_rep1,180,4,1
LeafTrap_Time180_rep2,180,4,1
LeafTrap_Time180_rep3,180,4,1
LeafTrap_Time180_rep4,180,4,1
LeafTrap_Time720_rep1,720,5,1
LeafTrap_Time720_rep2,720,5,1
LeafTrap_Time720_rep3,720,5,1
LeafTrap_Time720_rep4,720,5,1
LeafTrap_Time1440_rep1,1440,6,1
LeafTrap_Time1440_rep2,1440,6,1
LeafTrap_Time1440_rep3,1440,6,1
LeafTrap_Time1440_rep4,1440,6,1
LeafTrap_Time2880_rep1,2880,7,1
LeafTrap_Time2880_rep2,2880,7,1
LeafTrap_Time2880_rep3,2880,7,1
LeafTrap_Time2880_rep4,2880,7,1
LeafTrap_Time4320_rep1,4320,8,1
LeafTrap_Time4320_rep2,4320,8,1
LeafTrap_Time4320_rep3,4320,8,1
LeafTrap_Time4320_rep4,4320,8,1
