Orthogroup	L_sativa.proteins	V_vinifera.proteins
OG0000008	Lsat_1_v5_gn_1_11620.1, Lsat_1_v5_gn_1_11620.3, Lsat_1_v5_gn_1_11600.1, Lsat_1_v5_gn_1_11600.2, Lsat_1_v5_gn_2_107460.1, Lsat_1_v5_gn_2_107460.2, Lsat_1_v5_gn_8_22501.1, Lsat_1_v5_gn_0_27560.1, Lsat_1_v5_gn_0_27560.2, Lsat_1_v5_gn_2_126841.1, Lsat_1_v5_gn_3_123361.3, Lsat_1_v5_gn_3_123361.1	VIT_214s0081g00270.1, VIT_214s0030g02280.1, VIT_214s0081g00120.1, VIT_202s0033g01375.1, VIT_214s0081g00280.1, VIT_212s0028g02320.1
OG0000008	Lsat_1_v5_gn_9_9621.1, Lsat_1_v5_gn_9_9621.2	VIT_207s0141g00780.1
OG0000011	Lsat_1_v5_gn_6_100741.1	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1
OG0000011	Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2	VIT_217s0000g02390.1, VIT_217s0000g02370.1
OG0000011	Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3	VIT_214s0108g00370.1, VIT_214s0066g02660.1, VIT_214s0066g02670.1, VIT_214s0066g02680.1, VIT_210s0042g00590.1, VIT_210s0042g00770.1, VIT_210s0042g00600.1, VIT_210s0042g00700.1, VIT_214s0108g00340.1, VIT_214s0108g00300.1, VIT_214s0108g00280.1, VIT_214s0108g00310.1, VIT_204s0079g00240.1
OG0000011	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1
OG0000011	Lsat_1_v5_gn_7_14720.1, Lsat_1_v5_gn_3_60400.3	VIT_207s0005g04070.1, VIT_214s0108g00360.1
OG0000015	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1
OG0000015	Lsat_1_v5_gn_5_49640.1, Lsat_1_v5_gn_2_114921.4, Lsat_1_v5_gn_2_114941.2, Lsat_1_v5_gn_2_114941.1, Lsat_1_v5_gn_2_114921.1	VIT_219s0014g04270.1
OG0000015	Lsat_1_v5_gn_5_49520.2	VIT_219s0014g04310.1, VIT_219s0014g04600.1, VIT_219s0014g04530.1, VIT_219s0014g04540.1, VIT_219s0014g04630.1, VIT_219s0014g04470.2, VIT_219s0014g04470.4, VIT_219s0014g04470.5, VIT_219s0014g04640.1, VIT_219s0014g04400.1, VIT_219s0014g04400.2, VIT_219s0014g04400.3, VIT_219s0014g04400.4, VIT_219s0014g04400.5, VIT_219s0014g04400.7, VIT_219s0014g04400.6, VIT_219s0014g04620.1, VIT_219s0014g04470.1, VIT_219s0014g04470.3, VIT_219s0014g04500.1, VIT_219s0014g04290.1
OG0000016	Lsat_1_v5_gn_3_11081.1, Lsat_1_v5_gn_3_11081.3, Lsat_1_v5_gn_2_55441.1, Lsat_1_v5_gn_2_55441.3, Lsat_1_v5_gn_2_121260.1, Lsat_1_v5_gn_2_121260.2, Lsat_1_v5_gn_2_107620.1, Lsat_1_v5_gn_2_107620.3	VIT_213s0067g00470.1
OG0000016	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1	VIT_216s0098g00430.1
