Orthogroup	B_vulgaris.proteins	P_amilis.proteins
OG0000003	Bevul.9G056500.1.p	FUN_006975-T1, FUN_015854-T1, FUN_013387-T1, FUN_013559-T1, FUN_047673-T1, FUN_013439-T1, FUN_002593-T1, FUN_042431-T1, FUN_007224-T1, FUN_042393-T1, FUN_025990-T1, FUN_007257-T1, FUN_026233-T1, FUN_025955-T1, FUN_007270-T1, FUN_046024-T1, FUN_013502-T1, FUN_003776-T1, FUN_007437-T1, FUN_003426-T1, FUN_027635-T1, FUN_019673-T1, FUN_019743-T1, FUN_052899-T1, FUN_043066-T1, FUN_039412-T1, FUN_007082-T1, FUN_003021-T1, FUN_019623-T1, FUN_019785-T1, FUN_013476-T1, FUN_021237-T1, FUN_029654-T1, FUN_039411-T1, FUN_004661-T1, FUN_006850-T1, FUN_028494-T1, FUN_028561-T1, FUN_007109-T1, FUN_019826-T1, FUN_045323-T1, FUN_007088-T1, FUN_023100-T1, FUN_044468-T1, FUN_021875-T1, FUN_019624-T1, FUN_052957-T1, FUN_043455-T1, FUN_009853-T1, FUN_036597-T1, FUN_040232-T1, FUN_009990-T1, FUN_007401-T1, FUN_048859-T1, FUN_042158-T1, FUN_019934-T1, FUN_028177-T1, FUN_047847-T1, FUN_028928-T1, FUN_019567-T1, FUN_003383-T1, FUN_022965-T1, FUN_027977-T1, FUN_028565-T1, FUN_007330-T1, FUN_003344-T1, FUN_003392-T1, FUN_042186-T1, FUN_022300-T1, FUN_027624-T1, FUN_008861-T1, FUN_003784-T1, FUN_022189-T1, FUN_041828-T1, FUN_028153-T1, FUN_009060-T1, FUN_039979-T1, FUN_040184-T1, FUN_014392-T1, FUN_009524-T1, FUN_038551-T1, FUN_021050-T1, FUN_009525-T1, FUN_031415-T1, FUN_007458-T1, FUN_027631-T1, FUN_013331-T1, FUN_033141-T1, FUN_052874-T1, FUN_027980-T1, FUN_019319-T1, FUN_021865-T1, FUN_034420-T1, FUN_028516-T1, FUN_021264-T1, FUN_038164-T1, FUN_000089-T1, FUN_019714-T1, FUN_028618-T1, FUN_003203-T1, FUN_034607-T1, FUN_045018-T1, FUN_016203-T1, FUN_019948-T1, FUN_042526-T1, FUN_009373-T1, FUN_028472-T1, FUN_021371-T1, FUN_028582-T1, FUN_023093-T1, FUN_028255-T1, FUN_007060-T1, FUN_007193-T1, FUN_000023-T1, FUN_044737-T1, FUN_007256-T1, FUN_047685-T1, FUN_007095-T1, FUN_010338-T1, FUN_028513-T1, FUN_031459-T1, FUN_019771-T1, FUN_034319-T1, FUN_007364-T1, FUN_006810-T1, FUN_022633-T1, FUN_007076-T1, FUN_019777-T1, FUN_013207-T1, FUN_013526-T1, FUN_034321-T1, FUN_041275-T1, FUN_021968-T1, FUN_012201-T1, FUN_045299-T1, FUN_009555-T1, FUN_027633-T1, FUN_019284-T1, FUN_027632-T1, FUN_013333-T1, FUN_019310-T1, FUN_019539-T1, FUN_028344-T1, FUN_028100-T1, FUN_009768-T1, FUN_039677-T1, FUN_003172-T1, FUN_027625-T1, FUN_028214-T1, FUN_038263-T1, FUN_019578-T1, FUN_021945-T1, FUN_010123-T1, FUN_023070-T1, FUN_044168-T1, FUN_021433-T1, FUN_038571-T1, FUN_040218-T1, FUN_013271-T1, FUN_031526-T1, FUN_022219-T1, FUN_007383-T1, FUN_006824-T1, FUN_013445-T1, FUN_029741-T1, FUN_004268-T1, FUN_037753-T1, FUN_037752-T1, FUN_028090-T1, FUN_021550-T1, FUN_021240-T1, FUN_006652-T1, FUN_004660-T1, FUN_004662-T1, FUN_036958-T1, FUN_020041-T1, FUN_046026-T1, FUN_034911-T1, FUN_028217-T1, FUN_040213-T1, FUN_019917-T1, FUN_015110-T1, FUN_013432-T1, FUN_018244-T1, FUN_007350-T1, FUN_022964-T1, FUN_036857-T1, FUN_047747-T1, FUN_007786-T1, FUN_015671-T1, FUN_033628-T1, FUN_047687-T1, FUN_021950-T1, FUN_043628-T1, FUN_013278-T1, FUN_016004-T1, FUN_006467-T1, FUN_028003-T1, FUN_035373-T1, FUN_021948-T1, FUN_003224-T1, FUN_010156-T1, FUN_025798-T1, FUN_042566-T1, FUN_039319-T1, FUN_009381-T1, FUN_052871-T1, FUN_040729-T1, FUN_019731-T1, FUN_039527-T1, FUN_042254-T1, FUN_010180-T1, FUN_042269-T1, FUN_050650-T1, FUN_028398-T1, FUN_016420-T1, FUN_014109-T1, FUN_012927-T1, FUN_028190-T1, FUN_045415-T1, FUN_034606-T1, FUN_010890-T1, FUN_038573-T1, FUN_039418-T1, FUN_027991-T1, FUN_044673-T1, FUN_007453-T1, FUN_019385-T1, FUN_024158-T1, FUN_019805-T1, FUN_002842-T1, FUN_003345-T1, FUN_007654-T1, FUN_035581-T1, FUN_046325-T1, FUN_009219-T1, FUN_013563-T1, FUN_039752-T1, FUN_005613-T1, FUN_007052-T1, FUN_052698-T1, FUN_003384-T1, FUN_050098-T1, FUN_019761-T1, FUN_016395-T1, FUN_013479-T1, FUN_022053-T1, FUN_044647-T1, FUN_009773-T1, FUN_031783-T1, FUN_023171-T1, FUN_038208-T1, FUN_034260-T1, FUN_022312-T1, FUN_028572-T1, FUN_007293-T1, FUN_021377-T1, FUN_049680-T1, FUN_040200-T1, FUN_028096-T1, FUN_019311-T1, FUN_033184-T1, FUN_006809-T1, FUN_030357-T1, FUN_006533-T1, FUN_019285-T1, FUN_003329-T1, FUN_030808-T1, FUN_034531-T1, FUN_034947-T1, FUN_007409-T1, FUN_007673-T1, FUN_044204-T1, FUN_039223-T1, FUN_022689-T1, FUN_027985-T1, FUN_023252-T1, FUN_016024-T1, FUN_042381-T1, FUN_044500-T1, FUN_031600-T1, FUN_016207-T1, FUN_022295-T1, FUN_027955-T1, FUN_021969-T1, FUN_004865-T1, FUN_009812-T1, FUN_016757-T1, FUN_028274-T1, FUN_028336-T1, FUN_009697-T1, FUN_030396-T1, FUN_028616-T1, FUN_007508-T1, FUN_009774-T1, FUN_023268-T1, FUN_019752-T1, FUN_051224-T1, FUN_015941-T1, FUN_045915-T1, FUN_031324-T1, FUN_040228-T1, FUN_021226-T1, FUN_034815-T1, FUN_050537-T1, FUN_042302-T1, FUN_009746-T1, FUN_034532-T1, FUN_023045-T1, FUN_010145-T1, FUN_003174-T1, FUN_051030-T1, FUN_012493-T1, FUN_023251-T1, FUN_038915-T1, FUN_039690-T1, FUN_047778-T1, FUN_021161-T1, FUN_022289-T1, FUN_028122-T1, FUN_044131-T1, FUN_040063-T1, FUN_044216-T1, FUN_052664-T1, FUN_003343-T1, FUN_028057-T1, FUN_039716-T1, FUN_028071-T1, FUN_009313-T1, FUN_016460-T1, FUN_051045-T1, FUN_039172-T1, FUN_016103-T1, FUN_028415-T1, FUN_019368-T1, FUN_028874-T1, FUN_044402-T1, FUN_007457-T1, FUN_042493-T1, FUN_028092-T1, FUN_050716-T1, FUN_044777-T1, FUN_047714-T1, FUN_007658-T1, FUN_021802-T1, FUN_012279-T1, FUN_022787-T1, FUN_008191-T1, FUN_029369-T1, FUN_003035-T1, FUN_030809-T1, FUN_003248-T1, FUN_002948-T1, FUN_000505-T1, FUN_039410-T1, FUN_005608-T1, FUN_043461-T1, FUN_050456-T1, FUN_017323-T1, FUN_050768-T1, FUN_023046-T1, FUN_017058-T1, FUN_016351-T1, FUN_028654-T1, FUN_017215-T1, FUN_044499-T1, FUN_008862-T1, FUN_039762-T1, FUN_017711-T1, FUN_000249-T1, FUN_023652-T1, FUN_022051-T1, FUN_021374-T1, FUN_003229-T1, FUN_016064-T1, FUN_047802-T1, FUN_022538-T1, FUN_010163-T1, FUN_006539-T1, FUN_019297-T1, FUN_020999-T1, FUN_010136-T1, FUN_028523-T1, FUN_044217-T1, FUN_042494-T1, FUN_023651-T1, FUN_051414-T1, FUN_022653-T1, FUN_021392-T1, FUN_028093-T1, FUN_038916-T1, FUN_034422-T1, FUN_016418-T1, FUN_000250-T1, FUN_050926-T1, FUN_014804-T1, FUN_031527-T1, FUN_016110-T1, FUN_051291-T1, FUN_025806-T1, FUN_003783-T1, FUN_022052-T1, FUN_044661-T1, FUN_016163-T1, FUN_019533-T1, FUN_028552-T1, FUN_039913-T1, FUN_016109-T1, FUN_021284-T1, FUN_022311-T1, FUN_028294-T1, FUN_019470-T1, FUN_031782-T1, FUN_040201-T1, FUN_000559-T1, FUN_049679-T1, FUN_042295-T1, FUN_044667-T1, FUN_044650-T1, FUN_021310-T1, FUN_044171-T1, FUN_040188-T1, FUN_028573-T1, FUN_016111-T1, FUN_031828-T1, FUN_039062-T1, FUN_016119-T1, FUN_041718-T1, FUN_015642-T1, FUN_021432-T1, FUN_016423-T1, FUN_043630-T1, FUN_027973-T1, FUN_022193-T1, FUN_044573-T1, FUN_023276-T1, FUN_044654-T1, FUN_022113-T1, FUN_028099-T1, FUN_042339-T1, FUN_052896-T1, FUN_000093-T1, FUN_023301-T1, FUN_052918-T1, FUN_030356-T1, FUN_039637-T1, FUN_041825-T1, FUN_028173-T1, FUN_008859-T1, FUN_044258-T1, FUN_021526-T1, FUN_016874-T1, FUN_042441-T1, FUN_028362-T1, FUN_044801-T1, FUN_022986-T1, FUN_010091-T1, FUN_022151-T1, FUN_035530-T1, FUN_018519-T1, FUN_021963-T1, FUN_050505-T1, FUN_025776-T1, FUN_039174-T1, FUN_022921-T1, FUN_023170-T1, FUN_016090-T1, FUN_019992-T1, FUN_039208-T1, FUN_044636-T1, FUN_013224-T1, FUN_021225-T1, FUN_021221-T1, FUN_039544-T1, FUN_042385-T1, FUN_010116-T1, FUN_040781-T1, FUN_003160-T1
OG0000008	Bevul.4G169600.1.p, Bevul.4G164800.1.p, Bevul.8G132800.1.p, Bevul.4G167500.1.p, Bevul.4G167700.1.p, Bevul.4G161700.1.p, Bevul.4G162100.1.p, Bevul.4G175000.1.p, Bevul.4G171100.1.p, Bevul.4G158600.1.p, Bevul.4G162000.1.p, Bevul.4G158700.1.p, Bevul.4G163200.1.p, Bevul.4G160400.1.p, Bevul.4G163300.1.p, Bevul.4G163900.1.p, Bevul.4G171200.1.p, Bevul.4G171300.1.p, Bevul.4G171400.1.p	FUN_043368-T1, FUN_034449-T1, FUN_001227-T1, FUN_034381-T1, FUN_043087-T1
OG0000008	Bevul.4G199500.1.p, Bevul.4G199400.1.p, Bevul.4G199300.1.p, Bevul.4G192000.1.p, Bevul.4G188200.1.p, Bevul.4G192200.1.p, Bevul.4G177300.1.p, Bevul.4G188000.1.p, Bevul.4G191800.1.p, Bevul.4G191900.1.p, Bevul.4G187800.1.p, Bevul.4G188300.1.p, Bevul.4G192300.1.p, Bevul.4G192100.1.p, Bevul.4G184600.1.p, Bevul.4G192400.1.p, Bevul.4G194600.1.p	FUN_026496-T1, FUN_026487-T1
OG0000011	Bevul.9G145000.1.p	FUN_045628-T1
OG0000011	Bevul.7G111500.1.p, Bevul.7G111300.1.p	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1
OG0000015	Bevul.8G062600.1.p	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1
OG0000016	Bevul.3G098500.1.p, Bevul.3G063500.1.p	FUN_038365-T1, FUN_036994-T1
OG0000016	Bevul.9G202400.1.p, Bevul.6G093300.1.p, Bevul.1G082700.1.p, Bevul.6G098600.1.p	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1
OG0000016	Bevul.9G175500.1.p, Bevul.9G175500.3.p, Bevul.9G175500.2.p, Bevul.9G175700.1.p	FUN_051992-T1, FUN_041846-T1, FUN_020836-T1
OG0000016	Bevul.9G175800.1.p, Bevul.9G176100.1.p, Bevul.9G176000.1.p, Bevul.9G176400.1.p, Bevul.8G121500.1.p, Bevul.9G175900.1.p, Bevul.9G176500.1.p	FUN_052216-T1, FUN_052215-T1, FUN_052217-T1, FUN_038364-T1, FUN_004692-T1, FUN_002249-T1, FUN_020759-T1, FUN_002301-T1, FUN_002248-T1, FUN_002301-T2, FUN_002242-T1, FUN_002244-T1, FUN_018370-T1, FUN_052249-T1, FUN_002247-T1, FUN_002304-T1, FUN_043138-T1, FUN_002303-T1, FUN_045120-T1, FUN_052261-T2, FUN_052261-T1
