"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0008150","biological_process",10199,1252,1000.32,"< 1e-30"
"2","GO:0010228","vegetative to reproductive phase transition of meristem",217,64,21.28,"4.7e-10"
"3","GO:0048367","shoot system development",786,146,77.09,"8.3e-10"
"4","GO:0009793","embryo development ending in seed dormancy",463,80,45.41,"1.2e-09"
"5","GO:0006357","regulation of transcription by RNA polymerase II",220,61,21.58,"1.4e-09"
"6","GO:0009987","cellular process",7901,1021,774.93,"9.6e-09"
"7","GO:0048522","positive regulation of cellular process",604,120,59.24,"9.6e-08"
"8","GO:0006338","chromatin remodeling",85,26,8.34,"1.5e-07"
"9","GO:0040029","epigenetic regulation of gene expression",71,25,6.96,"2.2e-07"
"10","GO:0045944","positive regulation of transcription by RNA polymerase II",73,21,7.16,"5.4e-07"
"11","GO:0050793","regulation of developmental process",656,131,64.34,"9.8e-07"
"12","GO:0071704","organic substance metabolic process",5786,768,567.49,"1.1e-06"
"13","GO:2000028","regulation of photoperiodism, flowering",44,15,4.32,"2.2e-06"
"14","GO:0035194","post-transcriptional gene silencing by RNA",41,19,4.02,"3.1e-06"
"15","GO:0048523","negative regulation of cellular process",613,114,60.12,"3.1e-06"
"16","GO:0045892","negative regulation of DNA-templated transcription",130,28,12.75,"4.9e-06"
"17","GO:0018105","peptidyl-serine phosphorylation",47,15,4.61,"5.5e-06"
"18","GO:0048573","photoperiodism, flowering",99,31,9.71,"9.2e-06"
"19","GO:0006623","protein targeting to vacuole",28,11,2.75,"1.0e-05"
"20","GO:0031326","regulation of cellular biosynthetic process",1109,188,108.77,"1.4e-05"
"21","GO:2000026","regulation of multicellular organismal development",278,66,27.27,"1.9e-05"
"22","GO:2000241","regulation of reproductive process",265,67,25.99,"2.2e-05"
"23","GO:0009658","chloroplast organization",171,32,16.77,"2.3e-05"
"24","GO:0048316","seed development",787,129,77.19,"3.4e-05"
"25","GO:0030242","autophagy of peroxisome",4,4,0.39,"5.6e-05"
"26","GO:0051641","cellular localization",626,135,61.4,"5.9e-05"
"27","GO:0033169","histone H3-K9 demethylation",10,6,0.98,"6.4e-05"
"28","GO:0007165","signal transduction",1077,152,105.63,"6.6e-05"
"29","GO:0045292","mRNA cis splicing, via spliceosome",14,7,1.37,"7.1e-05"
"30","GO:0006378","mRNA polyadenylation",19,8,1.86,"9.7e-05"
"31","GO:0035196","miRNA processing",20,8,1.96,"0.00015"
"32","GO:0040007","growth",782,107,76.7,"0.00015"
"33","GO:0042752","regulation of circadian rhythm",36,11,3.53,"0.00015"
"34","GO:0006914","autophagy",49,19,4.81,"0.00020"
"35","GO:0060321","acceptance of pollen",8,5,0.78,"0.00022"
"36","GO:0010218","response to far red light",21,8,2.06,"0.00022"
"37","GO:0048869","cellular developmental process",700,93,68.66,"0.00023"
"38","GO:0009893","positive regulation of metabolic process",473,106,46.39,"0.00023"
"39","GO:0048366","leaf development",279,45,27.36,"0.00026"
"40","GO:0045053","protein retention in Golgi apparatus",5,4,0.49,"0.00026"
"41","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",137,30,13.44,"0.00026"
"42","GO:0050794","regulation of cellular process",2734,435,268.15,"0.00029"
"43","GO:0009640","photomorphogenesis",71,16,6.96,"0.00030"
"44","GO:0031058","positive regulation of histone modification",17,7,1.67,"0.00032"
"45","GO:0048024","regulation of mRNA splicing, via spliceosome",17,7,1.67,"0.00032"
"46","GO:0046777","protein autophosphorylation",93,19,9.12,"0.00032"
"47","GO:0010628","positive regulation of gene expression",52,13,5.1,"0.00037"
"48","GO:0006351","DNA-templated transcription",998,164,97.88,"0.00037"
"49","GO:0006606","protein import into nucleus",28,9,2.75,"0.00040"
"50","GO:0016197","endosomal transport",46,12,4.51,"0.00040"
"51","GO:0000422","autophagy of mitochondrion",13,6,1.28,"0.00042"
"52","GO:0016573","histone acetylation",42,13,4.12,"0.00042"
"53","GO:0032776","DNA methylation on cytosine",9,5,0.88,"0.00045"
"54","GO:0010604","positive regulation of macromolecule metabolic process",399,93,39.13,"0.00046"
"55","GO:0008104","protein localization",402,83,39.43,"0.00050"
"56","GO:0098542","defense response to other organism",770,103,75.52,"0.00056"
"57","GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process",3,3,0.29,"0.00065"
"58","GO:2001008","positive regulation of cellulose biosynthetic process",3,3,0.29,"0.00065"
"59","GO:0009408","response to heat",178,29,17.46,"0.00065"
"60","GO:0022607","cellular component assembly",525,78,51.49,"0.00066"
"61","GO:0030307","positive regulation of cell growth",14,6,1.37,"0.00068"
"62","GO:0010629","negative regulation of gene expression",262,69,25.7,"0.00068"
"63","GO:1900109","regulation of histone H3-K9 dimethylation",6,4,0.59,"0.00072"
"64","GO:0070940","dephosphorylation of RNA polymerase II C-terminal domain",6,4,0.59,"0.00072"
"65","GO:0034727","piecemeal microautophagy of the nucleus",6,4,0.59,"0.00072"
"66","GO:0007064","mitotic sister chromatid cohesion",10,5,0.98,"0.00083"
"67","GO:0000373","Group II intron splicing",25,8,2.45,"0.00087"
"68","GO:0030422","siRNA processing",25,8,2.45,"0.00087"
"69","GO:0048589","developmental growth",624,77,61.2,"0.00087"
"70","GO:0009648","photoperiodism",119,38,11.67,"0.00090"
"71","GO:0009910","negative regulation of flower development",31,9,3.04,"0.00092"
"72","GO:0034968","histone lysine methylation",63,17,6.18,"0.00092"
"73","GO:0031324","negative regulation of cellular metabolic process",333,67,32.66,"0.00096"
"74","GO:0010033","response to organic substance",1481,184,145.26,"0.00096"
"75","GO:0010154","fruit development",820,138,80.43,"0.00103"
"76","GO:0009787","regulation of abscisic acid-activated signaling pathway",72,15,7.06,"0.00108"
"77","GO:0009909","regulation of flower development",107,28,10.49,"0.00141"
"78","GO:0009616","RNAi-mediated antiviral immune response",11,5,1.08,"0.00142"
"79","GO:0048193","Golgi vesicle transport",116,27,11.38,"0.00146"
"80","GO:0010118","stomatal movement",105,19,10.3,"0.00154"
"81","GO:0031124","mRNA 3'-end processing",26,12,2.55,"0.00154"
"82","GO:0016482","cytosolic transport",16,6,1.57,"0.00155"
"83","GO:0006897","endocytosis",53,12,5.2,"0.00157"
"84","GO:0034497","protein localization to phagophore assembly site",7,4,0.69,"0.00157"
"85","GO:0009790","embryo development",518,92,50.81,"0.00165"
"86","GO:0017148","negative regulation of translation",47,11,4.61,"0.00183"
"87","GO:0044265","cellular macromolecule catabolic process",347,70,34.03,"0.00185"
"88","GO:0009651","response to salt stress",316,46,30.99,"0.00186"
"89","GO:0048507","meristem development",279,39,27.36,"0.00188"
"90","GO:0006906","vesicle fusion",34,9,3.33,"0.00189"
"91","GO:0043488","regulation of mRNA stability",34,9,3.33,"0.00189"
"92","GO:0006397","mRNA processing",215,51,21.09,"0.00195"
"93","GO:0006281","DNA repair",236,34,23.15,"0.00216"
"94","GO:0045036","protein targeting to chloroplast",37,12,3.63,"0.00218"
"95","GO:0070417","cellular response to cold",17,6,1.67,"0.00222"
"96","GO:1900150","regulation of defense response to fungus",17,6,1.67,"0.00222"
"97","GO:0045324","late endosome to vacuole transport",35,9,3.43,"0.00235"
"98","GO:1901672","positive regulation of systemic acquired resistance",4,3,0.39,"0.00241"
"99","GO:1902446","regulation of shade avoidance",4,3,0.39,"0.00241"
"100","GO:0080009","mRNA methylation",4,3,0.39,"0.00241"
"101","GO:0000491","small nucleolar ribonucleoprotein complex assembly",4,3,0.39,"0.00241"
