HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N3.HOG0000000	OG0000001	n1								GmISU01.06G233900.1.p				
N3.HOG0000001	OG0000001	n580								GmISU01.14G098000.1.p				
N3.HOG0000002	OG0000004	n0								GmISU01.06G029800.1.p				
N3.HOG0000003	OG0000008	n11								GmISU01.07G091700.1.p				
N3.HOG0000004	OG0000008	n18								GmISU01.09G219400.1.p, GmISU01.15G175000.1.p				
N3.HOG0000005	OG0000008	n20								GmISU01.16G175550.1.p, GmISU01.09G122300.2.p				
N3.HOG0000006	OG0000008	n28			AT4G26800.1									
N3.HOG0000007	OG0000008	n46			AT1G12615.1									
N3.HOG0000008	OG0000008	n70								GmISU01.07G091650.1.p, GmISU01.09G139150.1.p				
N3.HOG0000009	OG0000008	n73								GmISU01.16G133500.2.p, GmISU01.16G133500.1.p, GmISU01.16G133800.1.p, GmISU01.16G133800.2.p, GmISU01.16G134400.1.p, GmISU01.16G134600.1.p, GmISU01.16G113600.1.p, GmISU01.16G132300.1.p, GmISU01.16G137300.2.p, GmISU01.16G137300.3.p, GmISU01.16G137300.1.p, GmISU01.16G133600.1.p, GmISU01.09G212400.1.p, GmISU01.16G134800.1.p, GmISU01.14G167500.1.p, GmISU01.09G138100.1.p, GmISU01.09G138200.3.p, GmISU01.09G137700.1.p, GmISU01.09G134800.1.p, GmISU01.09G137500.2.p, GmISU01.09G139100.1.p, GmISU01.09G137800.1.p, GmISU01.09G140500.1.p, GmISU01.09G138700.1.p, GmISU01.07G091100.1.p, GmISU01.09G140601.1.p, GmISU01.09G138900.2.p, GmISU01.16G132300.2.p, GmISU01.16G134500.1.p, GmISU01.16G137100.1.p, GmISU01.16G169300.2.p, GmISU01.16G169300.1.p, GmISU01.16G169300.3.p				
N3.HOG0000010	OG0000008	n214								GmISU01.18G174900.1.p, GmISU01.09G219400.2.p				
N3.HOG0000011	OG0000008	n220								GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p				
N3.HOG0000012	OG0000008	n224			AT1G64583.2, AT1G64583.1, AT5G16640.1, AT3G16710.2, AT3G16710.1, AT5G41170.2, AT5G41170.1, AT4G26800.3, AT4G26800.2, AT1G62680.1, AT1G62680.2, AT1G63070.1, AT1G12700.2, AT1G12700.3, AT1G12700.1, AT1G12620.1, AT1G12300.1, AT1G12775.1									
N3.HOG0000013	OG0000008	n299								GmISU01.12G103125.1.p, GmISU01.16G132000.4.p, GmISU01.16G132000.3.p, GmISU01.16G132000.1.p				
N3.HOG0000014	OG0000009	n0								GmISU01.13G229500.1.p				
N3.HOG0000015	OG0000011	n8								GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p				
N3.HOG0000016	OG0000011	n57			AT4G08850.1, AT4G08850.2, AT1G35710.1									
N3.HOG0000017	OG0000011	n94								GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p				
N3.HOG0000018	OG0000011	n134								GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p				
N3.HOG0000019	OG0000011	n170								GmISU01.18G210900.1.p, GmISU01.18G198800.1.p				
N3.HOG0000020	OG0000015	n14			AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1					GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p				
N3.HOG0000021	OG0000015	n51								GmISU01.06G220300.1.p, GmISU01.06G220400.1.p, GmISU01.06G220200.2.p, GmISU01.06G220200.3.p, GmISU01.06G220200.1.p, GmISU01.12G118800.1.p, GmISU01.13G246900.3.p, GmISU01.13G246900.6.p, GmISU01.13G246900.4.p, GmISU01.13G246900.1.p, GmISU01.13G246900.2.p, GmISU01.13G246900.5.p				
N3.HOG0000022	OG0000015	n84			AT4G27290.2, AT4G27290.1					GmISU01.06G218200.1.p				
N3.HOG0000023	OG0000015	n172			AT4G27300.1					GmISU01.12G120000.2.p, GmISU01.12G120000.4.p, GmISU01.12G120000.3.p, GmISU01.12G120000.1.p, GmISU01.06G216900.1.p, GmISU01.06G217300.1.p, GmISU01.15G188700.1.p, GmISU01.06G216700.2.p, GmISU01.06G216700.1.p, GmISU01.06G216300.3.p, GmISU01.06G216300.1.p, GmISU01.12G120400.3.p, GmISU01.12G120400.1.p, GmISU01.12G120400.2.p, GmISU01.12G120400.4.p, GmISU01.12G120200.1.p, GmISU01.06G217000.1.p, GmISU01.13G133300.1.p				
N3.HOG0000024	OG0000016	n60								GmISU01.07G129000.1.p, GmISU01.18G148700.1.p				
N3.HOG0000025	OG0000016	n66			AT3G47110.1, AT3G47580.1, AT3G47090.1, AT3G47570.1, AT5G39390.1, AT5G20480.1, AT5G20480.2									
N3.HOG0000026	OG0000016	n105								GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p				
