HOG	OG	Gene Tree Parent Clade	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins
N5.HOG0000000	OG0000005	n0									Lsat_1_v5_gn_7_36361.1		Solyc02g050207.1.1	
N5.HOG0000001	OG0000008	n11									Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1			
N5.HOG0000002	OG0000008	n46									Lsat_1_v5_gn_0_17660.1, Lsat_1_v5_gn_0_17660.2, Lsat_1_v5_gn_3_111521.1, Lsat_1_v5_gn_3_111521.2, Lsat_1_v5_gn_3_111261.1, Lsat_1_v5_gn_3_111360.1, Lsat_1_v5_gn_3_111360.2, Lsat_1_v5_gn_3_111320.2, Lsat_1_v5_gn_3_111320.1, Lsat_1_v5_gn_3_111021.1, Lsat_1_v5_gn_3_111640.1, Lsat_1_v5_gn_3_109840.1, Lsat_1_v5_gn_3_111041.3, Lsat_1_v5_gn_3_111041.1, Lsat_1_v5_gn_3_95641.1, Lsat_1_v5_gn_3_115200.1, Lsat_1_v5_gn_3_111340.2		Solyc06g007280.2.1, Solyc06g007820.1.1, Solyc06g005220.2.1, Solyc06g007850.3.1	
N5.HOG0000003	OG0000008	n241									Lsat_1_v5_gn_1_11620.1, Lsat_1_v5_gn_1_11620.3, Lsat_1_v5_gn_1_11600.1, Lsat_1_v5_gn_1_11600.2, Lsat_1_v5_gn_2_107460.1, Lsat_1_v5_gn_2_107460.2, Lsat_1_v5_gn_8_22501.1, Lsat_1_v5_gn_0_27560.1, Lsat_1_v5_gn_0_27560.2, Lsat_1_v5_gn_2_126841.1, Lsat_1_v5_gn_3_123361.3, Lsat_1_v5_gn_3_123361.1		Solyc04g080120.1.1, Solyc06g007740.1.1, Solyc06g007300.2.1	
N5.HOG0000004	OG0000008	n270									Lsat_1_v5_gn_9_9621.1, Lsat_1_v5_gn_9_9621.2			
N5.HOG0000005	OG0000008	n293									Lsat_1_v5_gn_2_107320.4			
N5.HOG0000006	OG0000011	n8									Lsat_1_v5_gn_6_100741.1		Solyc04g071680.2.1	
N5.HOG0000007	OG0000011	n57									Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2		Solyc04g074020.2.1, Solyc04g074050.3.1, Solyc04g074030.3.1, Solyc04g074000.3.1	
N5.HOG0000008	OG0000011	n94									Lsat_1_v5_gn_1_47320.1, Lsat_1_v5_gn_1_47320.4, Lsat_1_v5_gn_2_11081.3, Lsat_1_v5_gn_2_11081.1, Lsat_1_v5_gn_4_26720.3			
N5.HOG0000009	OG0000011	n134									Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3		Solyc09g072810.3.1	
