"","gene_ID","module","AT_gene_id","annotation"
"1","Dm_00000464-RA",7,"AT5G53170.1","| Symbols: FTSH11 | FTSH protease 11 | chr5:21563023-21567922 REVERSE LENGTH=806"
"2","Dm_00000465-RA",4,"AT5G53170.1","| Symbols: FTSH11 | FTSH protease 11 | chr5:21563023-21567922 REVERSE LENGTH=806"
"3","Dm_00000726-RA",8,"AT2G19170.2","| Symbols: SLP3 | subtilisin-like serine protease 3 | chr2:8314154-8317620 REVERSE LENGTH=815"
"4","Dm_00001552-RA",4,"AT1G04860.1","| Symbols: UBP2, ATUBP2 | ubiquitin-specific protease 2 | chr1:1369306-1372290 REVERSE LENGTH=961"
"5","Dm_00001749-RA",7,"AT1G11750.1","| Symbols: NCLPP1, CLPP6, NCLPP6 | NUCLEAR-ENCODED CLPP 1, CLP protease proteolytic subunit 6 | chr1:3967609-3969535 FORWARD LENGTH=271"
"6","Dm_00001773-RA",4,"AT2G32480.1","| Symbols: ARASP | ARABIDOPSIS SERIN PROTEASE | chr2:13788679-13790022 REVERSE LENGTH=447"
"7","Dm_00001812-RA",4,"AT1G02560.1","| Symbols: NCLPP1, NCLPP5, CLPP5 | NUCLEAR CLPP 5, NUCLEAR-ENCODED CLPP 1, nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298"
"8","Dm_00002580-RA",6,"AT4G20310.5","| Symbols: S2P | site 2 protease | chr4:10961639-10963513 FORWARD LENGTH=481"
"9","Dm_00003132-RA",5,"AT1G03220.1","| Symbols: SAP2 | secreted aspartic protease 2 | chr1:787143-788444 FORWARD LENGTH=433"
"10","Dm_00003789-RA",5,"AT5G10790.1","| Symbols: UBP22 | ubiquitin-specific protease 22 | chr5:3410638-3412559 FORWARD LENGTH=557"
"11","Dm_00004408-RA",7,"AT5G45390.1","| Symbols: CLPP4, NCLPP4 | NUCLEAR-ENCODED CLP PROTEASE P4, CLP protease P4 | chr5:18396351-18397586 FORWARD LENGTH=292"
"12","Dm_00005001-RA",8,"AT5G10790.1","| Symbols: UBP22 | ubiquitin-specific protease 22 | chr5:3410638-3412559 FORWARD LENGTH=557"
"13","Dm_00005905-RA",12,"AT4G18370.1","| Symbols: HHOA, DEGP5, DEG5 | degradation of periplasmic proteins 5, PROTEASE HHOA PRECUSOR, DEGP PROTEASE 5 | chr4:10149235-10151051 FORWARD LENGTH=323"
"14","Dm_00006240-RA",7,"AT1G79560.3","| Symbols: EMB1047, FTSH12, EMB36, EMB156 | FTSH protease 12, EMBRYO DEFECTIVE 36, EMBRYO DEFECTIVE 156, EMBRYO DEFECTIVE 1047 | chr1:29926976-29931991 FORWARD LENGTH=963"
"15","Dm_00006614-RA",8,"AT5G67360.1","| Symbols: ARA12, SBT1.7 | Subtilisin-like Serine protease 1.7 | chr5:26872192-26874465 REVERSE LENGTH=757"
