"","gene_ID","module","AT_gene_id","annotation"
"1","Dm_00000621-RA",5,"AT3G05580.1","| Symbols: AUN1, TOPP9 | ATUNIS1, type one protein phosphatase 9 | chr3:1618216-1619850 REVERSE LENGTH=318"
"2","Dm_00000749-RA",8,"AT5G57440.1","| Symbols: GS1, GPP2 | GLYCEROL-3-PHOSPHATASE 2 | chr5:23271518-23272900 REVERSE LENGTH=240"
"3","Dm_00000780-RA",8,"AT3G52820.1","| Symbols: ATPAP22, PAP22 | purple acid phosphatase 22, PURPLE ACID PHOSPHATASE 22 | chr3:19574236-19576938 REVERSE LENGTH=434"
"4","Dm_00001179-RA",3,"AT3G10150.2","| Symbols: PAP16, ATPAP16 | purple acid phosphatase 16 | chr3:3137502-3139122 REVERSE LENGTH=389"
"5","Dm_00001335-RA",5,"AT1G06410.3","| Symbols: ATTPSA, TPS7, ATTPS7 | TREHALOSE -6-PHOSPHATASE SYNTHASE S7, trehalose-phosphatase/synthase 7 | chr1:1955413-1958153 FORWARD LENGTH=851"
"6","Dm_00001454-RA",7,"AT4G21670.1","| Symbols: CPL1, ATCPL1, FRY2, SHI4, RCF2 | SHINY 4, C-terminal domain phosphatase-like 1, regulators of C-REPEAT BINDING FACTOR (CBF) gene expression 2, FIERY 2, C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1 | chr4:11511511-11516922 FORWARD LENGTH=967"
"7","Dm_00001602-RA",3,"AT1G15080.1","| Symbols: ATPAP2, LPP2, ATLPP2 | PHOSPHATIDIC ACID PHOSPHATASE 2, LIPID PHOSPHATE PHOSPHATASE 2, lipid phosphate phosphatase 2 | chr1:5188080-5189476 FORWARD LENGTH=290"
"8","Dm_00001846-RA",5,"AT5G50400.2","| Symbols: PAP27, ATPAP27 | ARABIDOPSIS THALIANA PURPLE ACID PHOSPHATASE 27, purple acid phosphatase 27 | chr5:20523575-20525915 REVERSE LENGTH=539"
"9","Dm_00001961-RA",3,"AT5G16480.1","| Symbols: AtPFA-DSP5, PFA-DSP5 | plant and fungi atypical dual-speci&#64257;city phosphatase 5 | chr5:5381334-5382618 REVERSE LENGTH=204"
"10","Dm_00003172-RA",7,"AT1G13750.1","| Symbols: ATPAP1, PAP1 | PURPLE ACID PHOSPHATASE 1, ARABIDOPSIS THALIANA PURPLE ACID PHOSPHATASE 1 | chr1:4715490-4718091 REVERSE LENGTH=613"
