Orthogroup	A_hypochondriacus.proteins	D_muscipula.proteins
OG0000008	AH000127-RA	Dm_00017627-RA, Dm_00015033-RA
OG0000008	AH018654-RA, AH011176-RA, AH011177-RA, AH011187-RA, AH011181-RA, AH011178-RA, AH011185-RA, AH011186-RA, AH011182-RA, AH011175-RA, AH011188-RA, AH011179-RA, AH008576-RA, AH010059-RA, AH020450-RA	Dm_00017626-RA, Dm_00017535-RA, Dm_00017356-RA, Dm_00015034-RA, Dm_00018541-RA, Dm_00016863-RA
OG0000011	AH002194-RA	Dm_00003465-RA
OG0000011	AH022040-RA, AH022041-RA, AH022042-RA, AH022043-RA	Dm_00013516-RA
OG0000015	AH015162-RA, AH021574-RA	Dm_00009736-RA
OG0000021	AH003127-RA, AH003133-RA	Dm_00010344-RA
OG0000021	AH022150-RA, AH022153-RA, AH022151-RA, AH009173-RA, AH009171-RA, AH009170-RA, AH006881-RA, AH009424-RA, AH022152-RA, AH002452-RA, AH003417-RA, AH000687-RA, AH004291-RA, AH023178-RA, AH022149-RA, AH022148-RA	Dm_00010968-RA, Dm_00020262-RA, Dm_00001605-RA, Dm_00003958-RA, Dm_00016187-RA, Dm_00018023-RA, Dm_00013333-RA, Dm_00010156-RA
OG0000022	AH012456-RA, AH021712-RA	Dm_00000930-RA, Dm_00015701-RA, Dm_00015702-RA, Dm_00009848-RA, Dm_00003334-RA, Dm_00019069-RA, Dm_00013792-RA, Dm_00003326-RA, Dm_00016056-RA, Dm_00003333-RA, Dm_00013632-RA, Dm_00009088-RA, Dm_00003335-RA, Dm_00009089-RA, Dm_00006414-RA, Dm_00008820-RA, Dm_00007966-RA, Dm_00016057-RA, Dm_00009847-RA, Dm_00003325-RA, Dm_00013793-RA, Dm_00001426-RA, Dm_00020487-RA
OG0000023	AH000663-RA	Dm_00006887-RA
OG0000024	AH007961-RA, AH010292-RA	Dm_00008089-RA, Dm_00016700-RA, Dm_00004789-RA, Dm_00009149-RA, Dm_00014846-RA, Dm_00017809-RA
OG0000025	AH001716-RA	Dm_00003443-RA, Dm_00007239-RA
OG0000026	AH010101-RA	Dm_00006967-RA
OG0000027	AH002791-RA	Dm_00014996-RA, Dm_00013634-RA, Dm_00019371-RA, Dm_00002324-RA, Dm_00004939-RA, Dm_00004749-RA, Dm_00000738-RA
OG0000028	AH020918-RA	Dm_00006419-RA, Dm_00006416-RA, Dm_00006418-RA, Dm_00001425-RA, Dm_00020344-RA, Dm_00016376-RA, Dm_00001424-RA, Dm_00006415-RA, Dm_00001427-RA, Dm_00006417-RA, Dm_00006319-RA, Dm_00006317-RA, Dm_00005629-RA, Dm_00015141-RA, Dm_00006322-RA, Dm_00006318-RA, Dm_00002878-RA, Dm_00002994-RA, Dm_00005634-RA, Dm_00016871-RA, Dm_00002995-RA
OG0000028	AH013996-RA, AH019532-RA	Dm_00006321-RA
OG0000028	AH010516-RA	Dm_00006805-RA, Dm_00008234-RA, Dm_00012131-RA, Dm_00020576-RA, Dm_00006032-RA, Dm_00006033-RA, Dm_00006031-RA
OG0000030	AH016837-RA, AH023677-RA, AH023678-RA	Dm_00000141-RA
OG0000031	AH010117-RA	Dm_00013082-RA, Dm_00002750-RA, Dm_00019538-RA, Dm_00005346-RA
OG0000032	AH014263-RA, AH017723-RA, AH022573-RA, AH003819-RA	Dm_00020696-RA
OG0000034	AH015068-RA	Dm_00019600-RA, Dm_00017791-RA, Dm_00013221-RA, Dm_00008931-RA, Dm_00011829-RA
OG0000037	AH021399-RA, AH021397-RA, AH021395-RA, AH014833-RA	Dm_00015941-RA, Dm_00016029-RA
OG0000038	AH013584-RA, AH013587-RA, AH013583-RA, AH013586-RA	Dm_00004693-RA
OG0000041	AH007879-RA	Dm_00017104-RA, Dm_00020901-RA
OG0000041	AH002675-RA, AH017708-RA	Dm_00009275-RA, Dm_00004200-RA
OG0000042	AH008196-RA, AH010186-RA, AH023344-RA, AH023345-RA, AH023732-RA	Dm_00000170-RA, Dm_00003840-RA, Dm_00003839-RA
OG0000044	AH003991-RA	Dm_00020841-RA
