Orthogroup	P_amilis.proteins	G_max.proteins
OG0000008	FUN_051593-T1, FUN_043089-T1	GmISU01.07G091700.1.p
OG0000008	FUN_036172-T1	GmISU01.09G219400.1.p, GmISU01.15G175000.1.p
OG0000008	FUN_036140-T1, FUN_036168-T1, FUN_036161-T1, FUN_036173-T1, FUN_036162-T1, FUN_036170-T1, FUN_036152-T1, FUN_036156-T1, FUN_036154-T1, FUN_036149-T1, FUN_036174-T1, FUN_036141-T1, FUN_036160-T1, FUN_036171-T1	GmISU01.18G174900.1.p, GmISU01.09G219400.2.p, GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p
OG0000011	FUN_045628-T1	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p
OG0000011	FUN_018896-T1	GmISU01.18G210900.1.p, GmISU01.18G198800.1.p
OG0000015	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p
OG0000016	FUN_051992-T1, FUN_041846-T1, FUN_020836-T1, FUN_052216-T1, FUN_052215-T1, FUN_052217-T1, FUN_038364-T1, FUN_004692-T1, FUN_002249-T1, FUN_020759-T1, FUN_002301-T1, FUN_002248-T1, FUN_002301-T2, FUN_002242-T1, FUN_002244-T1, FUN_018370-T1, FUN_052249-T1, FUN_002247-T1, FUN_002304-T1, FUN_043138-T1, FUN_002303-T1, FUN_045120-T1, FUN_052261-T2, FUN_052261-T1, FUN_036960-T1, FUN_036965-T1, FUN_036969-T1, FUN_036995-T1, FUN_036991-T1, FUN_036974-T1, FUN_036955-T1, FUN_036972-T1, FUN_036966-T1, FUN_036993-T1, FUN_052218-T1, FUN_036967-T1, FUN_036992-T1, FUN_036959-T1, FUN_036988-T3, FUN_036988-T1, FUN_036988-T2, FUN_036999-T1, FUN_036954-T1, FUN_036986-T1, FUN_036998-T1, FUN_036963-T1, FUN_036962-T1, FUN_036985-T1, FUN_036970-T1, FUN_017494-T1, FUN_036949-T1, FUN_036949-T2, FUN_036987-T1	GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p
OG0000018	FUN_012656-T1, FUN_019095-T1, FUN_015179-T1, FUN_015183-T1, FUN_015176-T2, FUN_015177-T2, FUN_015177-T1, FUN_015185-T1, FUN_015185-T2, FUN_015184-T1, FUN_011156-T2, FUN_011156-T1, FUN_042066-T1	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p
OG0000018	FUN_012653-T1, FUN_015188-T1	GmISU01.16G167400.1.p, GmISU01.16G167700.1.p
OG0000018	FUN_011477-T1, FUN_011476-T1, FUN_011478-T1, FUN_048627-T1, FUN_048629-T1, FUN_047268-T1, FUN_047265-T1, FUN_046104-T1, FUN_046104-T2, FUN_051744-T1, FUN_012787-T1, FUN_051184-T1	GmISU01.13G093800.1.p
OG0000021	FUN_040662-T1, FUN_040655-T1, FUN_040656-T1, FUN_040664-T1, FUN_018676-T1, FUN_018672-T1, FUN_018656-T1, FUN_018681-T1, FUN_018680-T1, FUN_018678-T1, FUN_018682-T1, FUN_040665-T1, FUN_018674-T1, FUN_018644-T1	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p
OG0000021	FUN_040982-T1, FUN_040985-T1	GmISU01.09G236300.1.p
OG0000021	FUN_024282-T1, FUN_049370-T1, FUN_049412-T1, FUN_049416-T1, FUN_001018-T1, FUN_049365-T1, FUN_036352-T1, FUN_049386-T1, FUN_049389-T1, FUN_001215-T1, FUN_049373-T1, FUN_049378-T1, FUN_049390-T1, FUN_049379-T1, FUN_049403-T1, FUN_049408-T1, FUN_049406-T1, FUN_049400-T1, FUN_049575-T1, FUN_049377-T1, FUN_049392-T1, FUN_036356-T1, FUN_045184-T1, FUN_049402-T1, FUN_049413-T1, FUN_049368-T1, FUN_049366-T1, FUN_052103-T1, FUN_052099-T1, FUN_052110-T1, FUN_052108-T1, FUN_046257-T1, FUN_037728-T1, FUN_037727-T1, FUN_037716-T1, FUN_037717-T1, FUN_037729-T1	GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p
OG0000022	FUN_017760-T1, FUN_017729-T1, FUN_036727-T1, FUN_017837-T1, FUN_017706-T1, FUN_017754-T1, FUN_017828-T1, FUN_017840-T1, FUN_017838-T1	GmISU01.15G141400.1.p
OG0000023	FUN_014378-T2, FUN_014378-T1, FUN_015007-T1, FUN_011960-T1, FUN_011960-T2, FUN_011960-T3, FUN_007934-T1, FUN_007934-T3, FUN_007934-T2, FUN_007934-T4, FUN_007929-T1, FUN_007939-T1, FUN_020168-T1, FUN_020170-T1, FUN_014375-T1, FUN_020167-T1	GmISU01.20G031800.1.p, GmISU01.20G031800.5.p, GmISU01.20G031800.4.p, GmISU01.20G031800.3.p, GmISU01.20G031800.2.p, GmISU01.13G051100.1.p
OG0000023	FUN_024415-T1	GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p
OG0000024	FUN_020355-T1	GmISU01.06G198800.2.p, GmISU01.06G198800.1.p
OG0000025	FUN_050791-T1, FUN_051656-T1	GmISU01.09G178800.1.p, GmISU01.09G177900.1.p, GmISU01.12G030900.1.p
OG0000025	FUN_050776-T1	GmISU01.06G005700.1.p
OG0000025	FUN_050780-T1, FUN_050779-T1	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p
