Orthogroup	G_max.proteins	D_spatulata.proteins
OG0000001	GmISU01.06G233900.1.p	Ds_00017738-RA
OG0000008	GmISU01.07G091700.1.p	Ds_00005008-RA
OG0000009	GmISU01.13G229500.1.p	Ds_00013068-RA, Ds_00002997-RA, Ds_00017794-RA, Ds_00011441-RA
OG0000011	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p	Ds_00013568-RA
OG0000011	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p	Ds_00015633-RA
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	Ds_00014454-RA, Ds_00015367-RA
OG0000015	GmISU01.06G218200.1.p	Ds_00009995-RA, Ds_00016103-RA, Ds_00016102-RA, Ds_00004166-RA, Ds_00016104-RA
OG0000018	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p	Ds_00006436-RA, Ds_00006435-RA, Ds_00014529-RA, Ds_00003183-RA
OG0000018	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	Ds_00003181-RA
OG0000018	GmISU01.13G093800.1.p	Ds_00006689-RA, Ds_00015426-RA
OG0000021	GmISU01.10G209300.1.p, GmISU01.10G209200.1.p, GmISU01.20G112900.1.p, GmISU01.20G113000.1.p, GmISU01.10G167700.1.p, GmISU01.11G099600.1.p, GmISU01.13G228800.1.p	Ds_00009889-RA, Ds_00002122-RA, Ds_00009888-RA, Ds_00009886-RA, Ds_00002123-RA, Ds_00001335-RA, Ds_00002132-RA, Ds_00010245-RA
OG0000021	GmISU01.09G236300.1.p, GmISU01.07G075000.1.p, GmISU01.03G018200.1.p, GmISU01.18G170100.1.p, GmISU01.18G169800.1.p, GmISU01.18G169900.1.p	Ds_00016546-RA, Ds_00010246-RA, Ds_00013127-RA, Ds_00011994-RA
OG0000022	GmISU01.15G141400.1.p	Ds_00000786-RA, Ds_00000789-RA, Ds_00013099-RA, Ds_00000790-RA, Ds_00000787-RA, Ds_00000788-RA
OG0000023	GmISU01.06G165800.1.p, GmISU01.13G189500.1.p, GmISU01.15G083700.1.p, GmISU01.06G042600.1.p, GmISU01.03G052600.2.p, GmISU01.03G052600.1.p	Ds_00016053-RA
OG0000025	GmISU01.09G178800.1.p	Ds_00000314-RA
OG0000025	GmISU01.06G005600.1.p, GmISU01.04G006100.1.p, GmISU01.12G030800.2.p, GmISU01.09G177800.1.p	Ds_00008906-RA, Ds_00008905-RA
OG0000027	GmISU01.07G023600.4.p	Ds_00015071-RA
OG0000028	GmISU01.09G114900.1.p	Ds_00011383-RA, Ds_00011387-RA, Ds_00011371-RA, Ds_00011381-RA, Ds_00011382-RA, Ds_00011384-RA, Ds_00007266-RA, Ds_00017487-RA, Ds_00017857-RA, Ds_00017485-RA, Ds_00011376-RA, Ds_00017484-RA, Ds_00017856-RA, Ds_00017796-RA, Ds_00017486-RA, Ds_00017858-RA, Ds_00003798-RA
OG0000029	GmISU01.04G201100.1.p, GmISU01.06G109100.1.p, GmISU01.13G017500.3.p, GmISU01.13G017500.1.p, GmISU01.13G017500.2.p, GmISU01.14G128400.1.p, GmISU01.14G128600.2.p, GmISU01.14G128600.1.p, GmISU01.14G128600.3.p, GmISU01.14G128500.2.p, GmISU01.14G128500.1.p, GmISU01.14G128700.1.p, GmISU01.14G128700.2.p, GmISU01.13G017400.1.p, GmISU01.14G128200.1.p, GmISU01.14G128100.1.p, GmISU01.13G017200.1.p	Ds_00010871-RA, Ds_00010870-RA
OG0000029	GmISU01.09G026100.1.p	Ds_00005993-RA
OG0000030	GmISU01.04G010900.2.p, GmISU01.04G010900.1.p, GmISU01.06G010100.1.p, GmISU01.11G106600.1.p, GmISU01.12G037500.1.p, GmISU01.11G106666.1.p, GmISU01.11G106732.1.p, GmISU01.12G037800.1.p, GmISU01.12G037600.1.p, GmISU01.12G038000.1.p, GmISU01.11G106900.1.p, GmISU01.04G010700.1.p, GmISU01.06G010000.1.p, GmISU01.04G011100.1.p, GmISU01.04G011000.1.p, GmISU01.11G107000.1.p, GmISU01.04G010600.1.p, GmISU01.06G009800.1.p, GmISU01.12G037900.1.p, GmISU01.11G106800.1.p, GmISU01.06G009900.1.p, GmISU01.04G011200.1.p, GmISU01.04G010800.1.p, GmISU01.12G038100.1.p, GmISU01.12G038200.1.p, GmISU01.12G038300.1.p, GmISU01.19G061000.1.p, GmISU01.11G107100.1.p, GmISU01.11G107200.1.p	Ds_00015041-RA
OG0000031	GmISU01.09G209600.3.p, GmISU01.09G209600.2.p, GmISU01.09G209600.1.p, GmISU01.09G209800.1.p	Ds_00009778-RA, Ds_00017965-RA, Ds_00017922-RA, Ds_00002506-RA, Ds_00004984-RA, Ds_00004983-RA, Ds_00004982-RA
OG0000031	GmISU01.01G054000.1.p, GmISU01.02G107300.1.p	Ds_00001472-RA
OG0000031	GmISU01.14G068000.1.p, GmISU01.17G219400.1.p	Ds_00000354-RA, Ds_00000355-RA
OG0000034	GmISU01.20G104100.1.p	Ds_00010206-RA, Ds_00010205-RA, Ds_00010204-RA, Ds_00010207-RA, Ds_00010200-RA, Ds_00015919-RA
OG0000034	GmISU01.01G198600.1.p, GmISU01.20G106300.1.p, GmISU01.20G106200.1.p, GmISU01.20G106200.2.p, GmISU01.10G214100.1.p, GmISU01.10G214100.4.p, GmISU01.10G214100.3.p, GmISU01.10G214100.2.p, GmISU01.20G105800.1.p, GmISU01.20G105800.2.p, GmISU01.20G105900.2.p, GmISU01.20G105900.1.p, GmISU01.20G106000.1.p	Ds_00010208-RA, Ds_00015077-RA
OG0000037	GmISU01.06G032200.1.p, GmISU01.06G032300.1.p	Ds_00010987-RA, Ds_00009807-RA, Ds_00007891-RA
OG0000037	GmISU01.03G065100.2.p, GmISU01.16G078300.1.p, GmISU01.16G078200.1.p	Ds_00015216-RA
OG0000038	GmISU01.05G039200.1.p	Ds_00017774-RA, Ds_00003815-RA, Ds_00005791-RA, Ds_00009691-RA, Ds_00013784-RA, Ds_00013785-RA
OG0000038	GmISU01.09G112500.1.p, GmISU01.16G166000.1.p, GmISU01.09G112400.1.p, GmISU01.09G112300.1.p, GmISU01.16G165900.1.p, GmISU01.09G112800.1.p, GmISU01.09G216700.1.p, GmISU01.07G163600.1.p, GmISU01.13G152350.1.p	Ds_00003814-RA, Ds_00013787-RA, Ds_00015024-RA
OG0000040	GmISU01.10G230300.1.p, GmISU01.11G143200.1.p	Ds_00008461-RA, Ds_00008462-RA
OG0000041	GmISU01.06G003500.1.p, GmISU01.04G003700.1.p, GmISU01.12G029300.1.p, GmISU01.11G098600.1.p	Ds_00000048-RA, Ds_00013581-RA, Ds_00013013-RA
OG0000041	GmISU01.06G147100.1.p, GmISU01.04G166400.1.p	Ds_00006251-RA
OG0000041	GmISU01.14G064800.1.p, GmISU01.02G209100.1.p	Ds_00016658-RA
OG0000041	GmISU01.20G011000.1.p, GmISU01.07G183700.1.p	Ds_00008539-RA, Ds_00005900-RA
OG0000041	GmISU01.03G207400.1.p, GmISU01.19G208400.1.p, GmISU01.10G133300.1.p	Ds_00009329-RA
OG0000041	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p, GmISU01.19G063300.1.p	Ds_00012521-RA, Ds_00002853-RA, Ds_00015029-RA
OG0000041	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p	Ds_00016022-RA, Ds_00000091-RA
OG0000041	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p	Ds_00006077-RA
OG0000042	GmISU01.12G054200.1.p	Ds_00012464-RA
OG0000042	GmISU01.11G123500.1.p	Ds_00015505-RA
OG0000042	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p	Ds_00007701-RA
OG0000043	GmISU01.11G085400.1.p	Ds_00000548-RA, Ds_00002531-RA, Ds_00002532-RA
OG0000044	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p	Ds_00010910-RA, Ds_00011206-RA
OG0000044	GmISU01.07G137500.3.p, GmISU01.07G137500.2.p, GmISU01.20G004500.4.p, GmISU01.20G004500.1.p	Ds_00005439-RA
OG0000044	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p	Ds_00008781-RA
OG0000044	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p	Ds_00012803-RA
OG0000044	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p	Ds_00008624-RA
OG0000046	GmISU01.04G012700.2.p, GmISU01.04G012700.1.p	Ds_00016515-RA, Ds_00004346-RA
OG0000046	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p	Ds_00013053-RA
