"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0003674","molecular_function",9824,1075,839.03,"< 1e-30"
"2","GO:0003700","DNA-binding transcription factor activity",644,135,55,"3.3e-28"
"3","GO:0000976","transcription cis-regulatory region binding",423,84,36.13,"2.7e-16"
"4","GO:0005515","protein binding",3001,378,256.3,"3.2e-16"
"5","GO:0004674","protein serine/threonine kinase activity",332,66,28.35,"4.6e-13"
"6","GO:0043565","sequence-specific DNA binding",551,110,47.06,"1.5e-06"
"7","GO:0005509","calcium ion binding",115,25,9.82,"1.6e-06"
"8","GO:0005516","calmodulin binding",81,20,6.92,"2.2e-06"
"9","GO:0030247","polysaccharide binding",44,14,3.76,"3.0e-06"
"10","GO:0047262","polygalacturonate 4-alpha-galacturonosyltransferase activity",15,8,1.28,"4.7e-06"
"11","GO:0019900","kinase binding",69,18,5.89,"0.00011"
"12","GO:0017018","myosin phosphatase activity",68,15,5.81,"0.00016"
"13","GO:0005484","SNAP receptor activity",28,9,2.39,"0.00016"
"14","GO:0003872","6-phosphofructokinase activity",3,3,0.26,"0.00045"
"15","GO:0005525","GTP binding",67,14,5.72,"0.00048"
"16","GO:0008194","UDP-glycosyltransferase activity",143,29,12.21,"0.00067"
"17","GO:0000166","nucleotide binding",486,68,41.51,"0.00073"
"18","GO:0016301","kinase activity",580,106,49.54,"0.00081"
"19","GO:0016762","xyloglucan:xyloglucosyl transferase activity",18,6,1.54,"0.00168"
"20","GO:0004805","trehalose-phosphatase activity",4,3,0.34,"0.00171"
"21","GO:0046982","protein heterodimerization activity",68,13,5.81,"0.00178"
"22","GO:0038023","signaling receptor activity",100,26,8.54,"0.00218"
"23","GO:0016298","lipase activity",54,11,4.61,"0.00233"
"24","GO:0046983","protein dimerization activity",307,49,26.22,"0.00243"
"25","GO:0044389","ubiquitin-like protein ligase binding",26,7,2.22,"0.00278"
"26","GO:0004714","transmembrane receptor protein tyrosine kinase activity",33,8,2.82,"0.00290"
"27","GO:0004713","protein tyrosine kinase activity",42,12,3.59,"0.00313"
"28","GO:0004842","ubiquitin-protein transferase activity",192,26,16.4,"0.00330"
"29","GO:0004712","protein serine/threonine/tyrosine kinase activity",34,8,2.9,"0.00354"
"30","GO:0005319","lipid transporter activity",34,8,2.9,"0.00354"
"31","GO:0019901","protein kinase binding",42,9,3.59,"0.00398"
"32","GO:0016731","oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor",5,3,0.43,"0.00402"
"33","GO:0043531","ADP binding",15,5,1.28,"0.00415"
"34","GO:0033612","receptor serine/threonine kinase binding",15,5,1.28,"0.00415"
"35","GO:0016758","hexosyltransferase activity",195,41,16.65,"0.00441"
"36","GO:0046527","glucosyltransferase activity",86,18,7.34,"0.00505"
"37","GO:0016491","oxidoreductase activity",621,68,53.04,"0.00505"
"38","GO:0043168","anion binding",550,70,46.97,"0.00556"
"39","GO:0052736","beta-glucanase activity",2,2,0.17,"0.00590"
"40","GO:0050373","UDP-arabinose 4-epimerase activity",2,2,0.17,"0.00590"
"41","GO:0004478","methionine adenosyltransferase activity",2,2,0.17,"0.00590"
"42","GO:0015185","gamma-aminobutyric acid transmembrane transporter activity",2,2,0.17,"0.00590"
"43","GO:0004888","transmembrane signaling receptor activity",68,18,5.81,"0.00725"
"44","GO:0042803","protein homodimerization activity",135,19,11.53,"0.00733"
"45","GO:0008061","chitin binding",6,3,0.51,"0.00758"
"46","GO:0016413","O-acetyltransferase activity",31,7,2.65,"0.00794"
"47","GO:0046872","metal ion binding",792,93,67.64,"0.00953"
"48","GO:0019199","transmembrane receptor protein kinase activity",51,13,4.36,"0.00956"
"49","GO:0042802","identical protein binding",238,34,20.33,"0.01113"
"50","GO:0005102","signaling receptor binding",22,8,1.88,"0.01239"
"51","GO:0030527","structural constituent of chromatin",19,5,1.62,"0.01242"
"52","GO:0005355","glucose transmembrane transporter activity",7,3,0.6,"0.01251"
"53","GO:0017076","purine nucleotide binding",329,48,28.1,"0.01252"
"54","GO:0003924","GTPase activity",104,15,8.88,"0.01299"
"55","GO:0051213","dioxygenase activity",59,10,5.04,"0.01365"
"56","GO:0030554","adenyl nucleotide binding",262,34,22.38,"0.01391"
"57","GO:0046914","transition metal ion binding",592,60,50.56,"0.01612"
"58","GO:0008270","zinc ion binding",357,39,30.49,"0.01621"
"59","GO:0032440","2-alkenal reductase [NAD(P)+] activity",3,2,0.26,"0.01679"
"60","GO:0005179","hormone activity",3,2,0.26,"0.01679"
"61","GO:0047259","glucomannan 4-beta-mannosyltransferase activity",3,2,0.26,"0.01679"
"62","GO:0015018","galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity",3,2,0.26,"0.01679"
"63","GO:0048018","receptor ligand activity",3,2,0.26,"0.01679"
"64","GO:0003978","UDP-glucose 4-epimerase activity",3,2,0.26,"0.01679"
"65","GO:0030545","signaling receptor regulator activity",3,2,0.26,"0.01679"
"66","GO:0030546","signaling receptor activator activity",3,2,0.26,"0.01679"
"67","GO:0004473","malate dehydrogenase (decarboxylating) (NADP+) activity",3,2,0.26,"0.01679"
"68","GO:0002094","polyprenyltransferase activity",3,2,0.26,"0.01679"
"69","GO:0030599","pectinesterase activity",28,6,2.39,"0.01766"
"70","GO:0000987","cis-regulatory region sequence-specific DNA binding",109,15,9.31,"0.01939"
"71","GO:0004620","phospholipase activity",29,6,2.48,"0.02086"
"72","GO:0032553","ribonucleotide binding",340,48,29.04,"0.02154"
"73","GO:0050660","flavin adenine dinucleotide binding",73,11,6.23,"0.02293"
"74","GO:0016790","thiolester hydrolase activity",22,5,1.88,"0.02324"
"75","GO:0003779","actin binding",64,10,5.47,"0.02332"
"76","GO:0043621","protein self-association",64,10,5.47,"0.02332"
"77","GO:0032555","purine ribonucleotide binding",321,46,27.42,"0.02444"
"78","GO:2001070","starch binding",9,3,0.77,"0.02674"
"79","GO:0004709","MAP kinase kinase kinase activity",9,3,0.77,"0.02674"
"80","GO:0042285","xylosyltransferase activity",9,3,0.77,"0.02674"
"81","GO:0031625","ubiquitin protein ligase binding",23,5,1.96,"0.02787"
"82","GO:0032559","adenyl ribonucleotide binding",256,32,21.86,"0.02945"
"83","GO:0015291","secondary active transmembrane transporter activity",135,17,11.53,"0.02957"
"84","GO:0016759","cellulose synthase activity",16,4,1.37,"0.02990"
"85","GO:0008948","oxaloacetate decarboxylase activity",4,2,0.34,"0.03187"
"86","GO:0008937","ferredoxin-NAD(P) reductase activity",4,2,0.34,"0.03187"
"87","GO:0008728","GTP diphosphokinase activity",4,2,0.34,"0.03187"
"88","GO:0004324","ferredoxin-NADP+ reductase activity",4,2,0.34,"0.03187"
"89","GO:1902387","ceramide 1-phosphate binding",4,2,0.34,"0.03187"
"90","GO:1902388","ceramide 1-phosphate transfer activity",4,2,0.34,"0.03187"
"91","GO:0016843","amine-lyase activity",4,2,0.34,"0.03187"
"92","GO:0004470","malic enzyme activity",4,2,0.34,"0.03187"
"93","GO:0004471","malate dehydrogenase (decarboxylating) (NAD+) activity",4,2,0.34,"0.03187"
"94","GO:0120016","sphingolipid transfer activity",4,2,0.34,"0.03187"
"95","GO:0120017","ceramide transfer activity",4,2,0.34,"0.03187"
"96","GO:0046624","sphingolipid transporter activity",4,2,0.34,"0.03187"
"97","GO:0015172","acidic amino acid transmembrane transporter activity",4,2,0.34,"0.03187"
"98","GO:0022804","active transmembrane transporter activity",264,29,22.55,"0.03239"
"99","GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",24,5,2.05,"0.03304"
