Orthogroup	D_muscipula.proteins	A_coerulea.proteins
OG0000007	Dm_00013321-RA, Dm_00004145-RA	Aqcoe7G223600.1.p
OG0000007	Dm_00018309-RA	Aqcoe4G281300.1.p, Aqcoe1G392800.1.p, Aqcoe5G215100.1.p, Aqcoe2G162600.1.p, Aqcoe3G175000.1.p, Aqcoe7G214600.1.p, Aqcoe2G221500.1.p, Aqcoe6G204300.1.p, Aqcoe6G121600.1.p, Aqcoe1G312000.1.p, Aqcoe7G237700.1.p, Aqcoe4G183300.1.p, Aqcoe5G193900.1.p, Aqcoe4G258200.1.p, Aqcoe7G037200.1.p, Aqcoe0015s0002.1.p, Aqcoe4G176800.1.p, Aqcoe4G185200.1.p, Aqcoe4G166600.1.p, Aqcoe6G121500.1.p, Aqcoe7G066100.1.p, Aqcoe7G328700.1.p, Aqcoe5G221700.1.p, Aqcoe6G314200.1.p, Aqcoe6G236000.1.p, Aqcoe7G158400.1.p, Aqcoe6G328800.1.p, Aqcoe3G057400.1.p, Aqcoe1G209400.1.p, Aqcoe7G269200.1.p, Aqcoe3G233000.1.p, Aqcoe4G294800.1.p, Aqcoe6G113800.1.p, Aqcoe5G215700.1.p, Aqcoe4G190500.1.p, Aqcoe1G226800.1.p, Aqcoe3G196400.1.p, Aqcoe2G111500.1.p, Aqcoe3G227100.1.p, Aqcoe5G253600.1.p, Aqcoe5G319100.1.p, Aqcoe7G440100.1.p, Aqcoe1G040500.1.p, Aqcoe2G413900.1.p, Aqcoe7G191100.1.p, Aqcoe6G169800.1.p, Aqcoe5G342800.1.p, Aqcoe0345s0001.1.p, Aqcoe3G138300.1.p, Aqcoe1G413500.1.p, Aqcoe2G131800.1.p, Aqcoe5G441100.1.p, Aqcoe6G281300.1.p, Aqcoe3G196300.1.p, Aqcoe5G288400.1.p, Aqcoe1G052600.1.p, Aqcoe7G219200.1.p, Aqcoe2G226000.1.p, Aqcoe2G131800.2.p, Aqcoe7G136600.1.p, Aqcoe3G204400.1.p, Aqcoe2G142300.1.p, Aqcoe2G131300.1.p, Aqcoe4G149900.1.p, Aqcoe7G265900.1.p, Aqcoe2G173900.1.p, Aqcoe4G202200.1.p, Aqcoe7G248500.1.p, Aqcoe6G253900.1.p, Aqcoe2G058300.1.p, Aqcoe4G134000.1.p
OG0000007	Dm_00016397-RA, Dm_00007354-RA, Dm_00005510-RA, Dm_00018664-RA, Dm_00008793-RA, Dm_00011248-RA, Dm_00014871-RA	Aqcoe4G060300.1.p
OG0000007	Dm_00011864-RA, Dm_00010820-RA, Dm_00004011-RA, Dm_00019974-RA, Dm_00011335-RA, Dm_00014257-RA	Aqcoe1G363200.1.p, Aqcoe6G225500.1.p
OG0000007	Dm_00017256-RA, Dm_00018354-RA	Aqcoe1G332700.1.p
OG0000007	Dm_00018307-RA, Dm_00010506-RA, Dm_00007199-RA, Dm_00018501-RA, Dm_00011866-RA, Dm_00015213-RA, Dm_00019368-RA, Dm_00015669-RA, Dm_00013620-RA, Dm_00010823-RA, Dm_00016352-RA, Dm_00018778-RA, Dm_00017529-RA, Dm_00015775-RA, Dm_00016587-RA, Dm_00008533-RA, Dm_00011859-RA, Dm_00014255-RA, Dm_00012737-RA	Aqcoe0046s0001.1.p
OG0000007	Dm_00009012-RA, Dm_00011865-RA, Dm_00015776-RA, Dm_00008190-RA, Dm_00017528-RA, Dm_00016351-RA, Dm_00015293-RA, Dm_00018779-RA, Dm_00008534-RA, Dm_00013943-RA, Dm_00011066-RA, Dm_00015212-RA, Dm_00020210-RA, Dm_00019369-RA, Dm_00011022-RA, Dm_00011178-RA, Dm_00016588-RA, Dm_00012738-RA, Dm_00018502-RA, Dm_00011750-RA, Dm_00016772-RA	Aqcoe7G275600.1.p, Aqcoe0493s0001.1.p, Aqcoe0493s0001.2.p
OG0000007	Dm_00019355-RA, Dm_00014256-RA, Dm_00017463-RA, Dm_00011177-RA	Aqcoe0223s0001.1.p
OG0000007	Dm_00011553-RA, Dm_00011858-RA, Dm_00010821-RA, Dm_00017647-RA	Aqcoe7G161500.1.p
OG0000007	Dm_00017258-RA	Aqcoe6G299100.1.p, Aqcoe7G049400.1.p, Aqcoe5G235200.1.p
