Orthogroup	A_vesiculosa.proteins	A_coerulea.proteins
OG0000008	Av_00016512-RA	Aqcoe5G395200.1.p, Aqcoe5G128900.1.p
OG0000008	Av_00011034-RA	Aqcoe5G292100.1.p, Aqcoe5G371800.4.p, Aqcoe5G371800.8.p, Aqcoe5G371800.6.p, Aqcoe4G095300.2.p, Aqcoe4G095300.3.p, Aqcoe5G369100.1.p, Aqcoe5G370300.3.p, Aqcoe5G371800.2.p, Aqcoe5G371800.3.p, Aqcoe5G371800.5.p, Aqcoe5G371800.7.p, Aqcoe5G368700.2.p, Aqcoe4G095300.4.p, Aqcoe5G361500.2.p, Aqcoe5G361500.1.p, Aqcoe5G361500.3.p
OG0000008	Av_00023836-RA	Aqcoe4G095300.1.p, Aqcoe5G367200.1.p, Aqcoe5G367200.2.p, Aqcoe5G355800.1.p, Aqcoe5G370400.1.p, Aqcoe5G366700.1.p, Aqcoe5G370300.5.p, Aqcoe5G370300.4.p, Aqcoe5G370300.1.p, Aqcoe5G370300.2.p, Aqcoe5G369000.1.p, Aqcoe6G222400.1.p, Aqcoe5G368700.1.p, Aqcoe5G371800.1.p, Aqcoe5G452800.2.p, Aqcoe5G452800.1.p, Aqcoe5G379400.1.p, Aqcoe5G367100.1.p, Aqcoe5G378200.1.p
OG0000011	Av_00002197-RA	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p
OG0000018	Av_00002303-RA, Av_00009695-RA	Aqcoe5G029400.1.p, Aqcoe5G029300.1.p
OG0000021	Av_00016682-RA	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p
OG0000022	Av_00004844-RA	Aqcoe5G366100.1.p
OG0000022	Av_00010967-RA, Av_00004845-RA, Av_00003462-RA, Av_00003476-RA, Av_00003461-RA, Av_00004843-RA, Av_00021879-RA, Av_00002137-RA, Av_00001706-RA, Av_00009282-RA	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p
OG0000023	Av_00008849-RA, Av_00018735-RA, Av_00008789-RA, Av_00019809-RA	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p
OG0000024	Av_00007869-RA	Aqcoe4G121400.1.p
