Orthogroup	D_muscipula.proteins	D_spatulata.proteins
OG0000001	Dm_00019526-RA, Dm_00009139-RA, Dm_00008623-RA, Dm_00013833-RA, Dm_00003387-RA, Dm_00010426-RA, Dm_00004295-RA, Dm_00021101-RA, Dm_00018482-RA, Dm_00014862-RA, Dm_00020745-RA, Dm_00009154-RA, Dm_00016022-RA, Dm_00010030-RA, Dm_00016631-RA, Dm_00020389-RA, Dm_00016154-RA, Dm_00007662-RA, Dm_00015929-RA, Dm_00011676-RA, Dm_00020141-RA, Dm_00021070-RA, Dm_00005443-RA, Dm_00009846-RA, Dm_00014082-RA, Dm_00016333-RA, Dm_00012798-RA, Dm_00017202-RA, Dm_00017432-RA, Dm_00010042-RA, Dm_00019376-RA, Dm_00011058-RA, Dm_00008778-RA, Dm_00014276-RA, Dm_00020782-RA, Dm_00013000-RA, Dm_00016398-RA, Dm_00013690-RA, Dm_00008282-RA, Dm_00020267-RA, Dm_00019824-RA, Dm_00016531-RA, Dm_00010315-RA, Dm_00020652-RA, Dm_00017884-RA, Dm_00006978-RA, Dm_00018733-RA, Dm_00018039-RA, Dm_00015219-RA, Dm_00010316-RA, Dm_00017176-RA, Dm_00015846-RA, Dm_00021010-RA, Dm_00010460-RA, Dm_00016806-RA, Dm_00012647-RA, Dm_00017776-RA, Dm_00010803-RA, Dm_00014036-RA, Dm_00015558-RA, Dm_00011072-RA, Dm_00020712-RA, Dm_00020110-RA, Dm_00013654-RA, Dm_00003490-RA, Dm_00016731-RA, Dm_00014851-RA, Dm_00011890-RA, Dm_00014453-RA, Dm_00009059-RA, Dm_00013324-RA, Dm_00014404-RA, Dm_00010464-RA, Dm_00019762-RA, Dm_00018042-RA, Dm_00015527-RA, Dm_00010986-RA, Dm_00013936-RA, Dm_00009317-RA, Dm_00009758-RA, Dm_00008330-RA, Dm_00007758-RA, Dm_00006392-RA, Dm_00020040-RA, Dm_00015908-RA, Dm_00015796-RA, Dm_00006348-RA, Dm_00011454-RA, Dm_00013366-RA, Dm_00014829-RA, Dm_00020488-RA, Dm_00009854-RA, Dm_00014075-RA, Dm_00008979-RA, Dm_00016065-RA, Dm_00009362-RA, Dm_00020271-RA, Dm_00016180-RA, Dm_00018257-RA, Dm_00013591-RA, Dm_00017179-RA, Dm_00018043-RA, Dm_00017950-RA, Dm_00007156-RA, Dm_00005476-RA, Dm_00015055-RA, Dm_00019354-RA, Dm_00016264-RA, Dm_00017645-RA, Dm_00012075-RA, Dm_00014233-RA, Dm_00017394-RA, Dm_00016077-RA, Dm_00020799-RA, Dm_00007610-RA, Dm_00016622-RA, Dm_00005112-RA, Dm_00016080-RA, Dm_00015571-RA, Dm_00020917-RA, Dm_00019219-RA, Dm_00020452-RA, Dm_00019696-RA, Dm_00019743-RA, Dm_00009103-RA, Dm_00014898-RA, Dm_00008589-RA, Dm_00006475-RA, Dm_00006874-RA, Dm_00017217-RA, Dm_00010361-RA, Dm_00016917-RA, Dm_00014439-RA, Dm_00016153-RA, Dm_00011810-RA, Dm_00006502-RA, Dm_00013909-RA, Dm_00002888-RA, Dm_00010346-RA, Dm_00009531-RA, Dm_00010824-RA, Dm_00018227-RA, Dm_00019567-RA, Dm_00016732-RA, Dm_00017991-RA, Dm_00020323-RA, Dm_00011786-RA, Dm_00020890-RA, Dm_00006440-RA, Dm_00013198-RA, Dm_00017125-RA, Dm_00010442-RA, Dm_00019859-RA, Dm_00019404-RA, Dm_00015760-RA, Dm_00011798-RA, Dm_00013996-RA, Dm_00007465-RA, Dm_00012790-RA, Dm_00010418-RA, Dm_00012793-RA, Dm_00007580-RA, Dm_00019116-RA, Dm_00011702-RA, Dm_00015755-RA, Dm_00011979-RA, Dm_00010901-RA, Dm_00020122-RA, Dm_00018702-RA, Dm_00008317-RA, Dm_00012200-RA, Dm_00012671-RA, Dm_00012884-RA, Dm_00021048-RA, Dm_00006574-RA, Dm_00017129-RA, Dm_00019792-RA, Dm_00005684-RA, Dm_00011510-RA, Dm_00006492-RA, Dm_00018764-RA, Dm_00012000-RA, Dm_00019395-RA, Dm_00010357-RA, Dm_00020797-RA, Dm_00018704-RA, Dm_00017003-RA, Dm_00017745-RA, Dm_00021130-RA, Dm_00014033-RA, Dm_00012885-RA, Dm_00005401-RA, Dm_00009501-RA, Dm_00020066-RA, Dm_00019582-RA, Dm_00017616-RA, Dm_00017815-RA, Dm_00016751-RA, Dm_00021102-RA, Dm_00019643-RA, Dm_00016419-RA, Dm_00006654-RA, Dm_00014034-RA, Dm_00005247-RA, Dm_00020093-RA, Dm_00002889-RA, Dm_00010791-RA, Dm_00016549-RA, Dm_00010730-RA, Dm_00013997-RA, Dm_00009152-RA, Dm_00006441-RA, Dm_00002806-RA, Dm_00012794-RA, Dm_00020703-RA, Dm_00003774-RA, Dm_00020911-RA, Dm_00016259-RA, Dm_00016592-RA, Dm_00020203-RA, Dm_00006559-RA, Dm_00009211-RA, Dm_00015071-RA, Dm_00015713-RA, Dm_00005208-RA, Dm_00017345-RA, Dm_00006771-RA, Dm_00020867-RA, Dm_00020900-RA, Dm_00019629-RA, Dm_00010411-RA, Dm_00013544-RA, Dm_00015550-RA, Dm_00009385-RA, Dm_00020328-RA, Dm_00018913-RA, Dm_00009435-RA, Dm_00011996-RA, Dm_00019744-RA, Dm_00010843-RA, Dm_00015061-RA, Dm_00017727-RA, Dm_00016134-RA, Dm_00013798-RA, Dm_00020603-RA, Dm_00010745-RA, Dm_00012239-RA, Dm_00016424-RA, Dm_00010744-RA, Dm_00018422-RA, Dm_00008863-RA, Dm_00020956-RA, Dm_00009905-RA, Dm_00010322-RA, Dm_00017552-RA, Dm_00016356-RA, Dm_00019451-RA, Dm_00016004-RA, Dm_00019122-RA, Dm_00015076-RA, Dm_00002692-RA, Dm_00004786-RA, Dm_00016325-RA, Dm_00013616-RA, Dm_00010784-RA, Dm_00010539-RA, Dm_00018565-RA, Dm_00019523-RA, Dm_00003349-RA, Dm_00003346-RA, Dm_00013211-RA, Dm_00014936-RA, Dm_00017430-RA, Dm_00009974-RA, Dm_00011610-RA, Dm_00018052-RA, Dm_00008967-RA, Dm_00007661-RA, Dm_00012730-RA, Dm_00016081-RA, Dm_00005207-RA, Dm_00013724-RA, Dm_00018488-RA, Dm_00016265-RA, Dm_00010787-RA, Dm_00018784-RA, Dm_00019363-RA, Dm_00010276-RA, Dm_00019100-RA, Dm_00014882-RA, Dm_00019470-RA, Dm_00012401-RA, Dm_00012290-RA, Dm_00016267-RA, Dm_00010209-RA, Dm_00012534-RA, Dm_00020007-RA, Dm_00018223-RA, Dm_00009962-RA, Dm_00003348-RA, Dm_00015761-RA, Dm_00017001-RA, Dm_00016487-RA, Dm_00015525-RA, Dm_00005663-RA, Dm_00005843-RA, Dm_00013004-RA, Dm_00014473-RA, Dm_00016162-RA, Dm_00017833-RA, Dm_00007646-RA, Dm_00010985-RA, Dm_00020822-RA, Dm_00009060-RA, Dm_00017154-RA, Dm_00015008-RA, Dm_00019362-RA, Dm_00018017-RA, Dm_00019351-RA, Dm_00021118-RA, Dm_00015130-RA, Dm_00015151-RA, Dm_00008683-RA, Dm_00019414-RA, Dm_00011883-RA, Dm_00019061-RA, Dm_00006421-RA, Dm_00015006-RA, Dm_00015275-RA, Dm_00018897-RA, Dm_00018623-RA, Dm_00016297-RA, Dm_00013637-RA, Dm_00014304-RA, Dm_00009086-RA, Dm_00007840-RA, Dm_00016420-RA, Dm_00019592-RA, Dm_00011507-RA, Dm_00014450-RA, Dm_00014032-RA, Dm_00020803-RA, Dm_00008551-RA, Dm_00008553-RA, Dm_00019121-RA, Dm_00014037-RA, Dm_00009845-RA, Dm_00008796-RA, Dm_00012320-RA, Dm_00004616-RA, Dm_00017022-RA, Dm_00006463-RA, Dm_00015890-RA, Dm_00020349-RA, Dm_00006264-RA, Dm_00020920-RA, Dm_00020061-RA, Dm_00015831-RA, Dm_00010289-RA, Dm_00017156-RA, Dm_00015174-RA, Dm_00007611-RA, Dm_00007925-RA, Dm_00019026-RA, Dm_00006980-RA, Dm_00020557-RA, Dm_00012894-RA, Dm_00010074-RA, Dm_00020175-RA, Dm_00018148-RA, Dm_00015849-RA, Dm_00016561-RA, Dm_00013173-RA, Dm_00008164-RA, Dm_00005363-RA, Dm_00010025-RA, Dm_00009061-RA, Dm_00005675-RA, Dm_00011679-RA, Dm_00010287-RA, Dm_00005616-RA, Dm_00012143-RA, Dm_00016787-RA, Dm_00011933-RA, Dm_00005150-RA, Dm_00018403-RA, Dm_00016939-RA, Dm_00017118-RA, Dm_00018836-RA, Dm_00020006-RA, Dm_00003853-RA, Dm_00019751-RA, Dm_00019488-RA, Dm_00013891-RA, Dm_00006681-RA, Dm_00019478-RA, Dm_00010432-RA, Dm_00017723-RA, Dm_00016835-RA, Dm_00019314-RA, Dm_00020589-RA, Dm_00020587-RA, Dm_00011183-RA, Dm_00014148-RA, Dm_00012729-RA, Dm_00016453-RA, Dm_00018908-RA, Dm_00007996-RA, Dm_00016666-RA, Dm_00019562-RA, Dm_00011919-RA, Dm_00015067-RA, Dm_00020078-RA, Dm_00013639-RA, Dm_00011618-RA, Dm_00019647-RA, Dm_00013286-RA, Dm_00017369-RA, Dm_00008287-RA, Dm_00007593-RA, Dm_00010086-RA, Dm_00009312-RA, Dm_00006437-RA, Dm_00015522-RA, Dm_00016729-RA, Dm_00007608-RA, Dm_00016552-RA, Dm_00010248-RA, Dm_00008968-RA, Dm_00009777-RA, Dm_00010519-RA, Dm_00018476-RA, Dm_00007267-RA, Dm_00017784-RA, Dm_00018297-RA, Dm_00009388-RA, Dm_00004326-RA, Dm_00016355-RA, Dm_00010626-RA, Dm_00018252-RA, Dm_00021119-RA, Dm_00013235-RA, Dm_00008407-RA, Dm_00017773-RA, Dm_00016914-RA, Dm_00012439-RA, Dm_00017571-RA, Dm_00010802-RA, Dm_00007592-RA, Dm_00007572-RA, Dm_00010363-RA, Dm_00021121-RA, Dm_00004646-RA, Dm_00009080-RA, Dm_00009489-RA, Dm_00012044-RA, Dm_00017401-RA, Dm_00017868-RA, Dm_00017077-RA, Dm_00019741-RA, Dm_00013433-RA, Dm_00008256-RA, Dm_00006349-RA, Dm_00018383-RA, Dm_00018911-RA, Dm_00018216-RA, Dm_00017653-RA, Dm_00008443-RA, Dm_00015657-RA, Dm_00020795-RA, Dm_00018542-RA, Dm_00005849-RA, Dm_00020125-RA, Dm_00020182-RA, Dm_00019500-RA, Dm_00012295-RA, Dm_00014381-RA, Dm_00019860-RA, Dm_00020261-RA, Dm_00010975-RA, Dm_00008992-RA, Dm_00019140-RA, Dm_00009631-RA, Dm_00009657-RA, Dm_00019413-RA, Dm_00013962-RA, Dm_00016906-RA, Dm_00017834-RA, Dm_00018740-RA, Dm_00020298-RA, Dm_00010208-RA, Dm_00005114-RA, Dm_00014639-RA, Dm_00011440-RA, Dm_00010324-RA, Dm_00018790-RA, Dm_00017492-RA, Dm_00015656-RA, Dm_00008964-RA, Dm_00016198-RA, Dm_00013796-RA, Dm_00013734-RA, Dm_00006315-RA, Dm_00018286-RA, Dm_00012047-RA, Dm_00006500-RA, Dm_00012770-RA, Dm_00012211-RA, Dm_00020904-RA, Dm_00015443-RA, Dm_00002545-RA, Dm_00016991-RA, Dm_00005820-RA, Dm_00017253-RA, Dm_00019960-RA, Dm_00018677-RA, Dm_00010890-RA, Dm_00018300-RA, Dm_00020896-RA, Dm_00011021-RA, Dm_00017228-RA, Dm_00015105-RA, Dm_00009593-RA, Dm_00009816-RA, Dm_00015573-RA, Dm_00006969-RA, Dm_00009071-RA, Dm_00014850-RA, Dm_00018018-RA, Dm_00010275-RA, Dm_00015611-RA, Dm_00016337-RA, Dm_00019821-RA, Dm_00005308-RA, Dm_00011795-RA, Dm_00013223-RA, Dm_00021128-RA, Dm_00006458-RA, Dm_00008984-RA, Dm_00016550-RA, Dm_00021024-RA, Dm_00013785-RA, Dm_00009594-RA, Dm_00020777-RA, Dm_00010788-RA, Dm_00004509-RA, Dm_00013484-RA, Dm_00009578-RA, Dm_00016488-RA, Dm_00011785-RA, Dm_00012677-RA, Dm_00007329-RA, Dm_00018093-RA, Dm_00013332-RA, Dm_00019177-RA, Dm_00017315-RA, Dm_00012451-RA, Dm_00012124-RA, Dm_00016137-RA, Dm_00011595-RA, Dm_00011246-RA, Dm_00005586-RA, Dm_00015035-RA, Dm_00007991-RA, Dm_00019724-RA, Dm_00004083-RA, Dm_00014748-RA, Dm_00016471-RA, Dm_00020232-RA, Dm_00018237-RA, Dm_00020163-RA, Dm_00015743-RA, Dm_00015508-RA, Dm_00011912-RA, Dm_00009569-RA, Dm_00011461-RA, Dm_00015529-RA, Dm_00013451-RA	Ds_00017738-RA
OG0000008	Dm_00017626-RA, Dm_00017535-RA	Ds_00004058-RA, Ds_00005252-RA, Ds_00011612-RA
OG0000008	Dm_00017356-RA	Ds_00001046-RA, Ds_00004374-RA, Ds_00004371-RA
OG0000008	Dm_00015034-RA, Dm_00018541-RA, Dm_00016863-RA	Ds_00009680-RA
OG0000009	Dm_00014133-RA, Dm_00007027-RA, Dm_00020798-RA, Dm_00018592-RA, Dm_00020457-RA, Dm_00014650-RA, Dm_00013176-RA, Dm_00007594-RA, Dm_00010221-RA, Dm_00010409-RA, Dm_00021012-RA, Dm_00019564-RA, Dm_00019202-RA, Dm_00010575-RA, Dm_00015990-RA, Dm_00015152-RA, Dm_00020116-RA, Dm_00020710-RA, Dm_00013536-RA, Dm_00019409-RA, Dm_00020484-RA, Dm_00019842-RA, Dm_00019596-RA, Dm_00006839-RA, Dm_00012890-RA, Dm_00019684-RA, Dm_00017717-RA, Dm_00009449-RA, Dm_00020351-RA, Dm_00011337-RA, Dm_00018193-RA, Dm_00019843-RA, Dm_00015441-RA, Dm_00015618-RA, Dm_00015427-RA, Dm_00019837-RA, Dm_00020740-RA, Dm_00018795-RA, Dm_00019516-RA, Dm_00007935-RA, Dm_00019094-RA	Ds_00013068-RA
OG0000009	Dm_00016158-RA, Dm_00018662-RA, Dm_00013932-RA, Dm_00018272-RA, Dm_00019197-RA, Dm_00018573-RA, Dm_00015971-RA, Dm_00020446-RA, Dm_00018800-RA, Dm_00016168-RA, Dm_00016213-RA, Dm_00014155-RA, Dm_00008677-RA, Dm_00020303-RA, Dm_00019054-RA, Dm_00010054-RA, Dm_00012274-RA, Dm_00020148-RA, Dm_00015179-RA, Dm_00013148-RA, Dm_00006676-RA, Dm_00015819-RA, Dm_00010234-RA, Dm_00018628-RA, Dm_00018119-RA, Dm_00011175-RA, Dm_00018868-RA, Dm_00014778-RA, Dm_00017199-RA, Dm_00016493-RA, Dm_00019952-RA, Dm_00005750-RA, Dm_00003002-RA, Dm_00015622-RA, Dm_00019646-RA, Dm_00017406-RA, Dm_00013926-RA, Dm_00011059-RA, Dm_00007514-RA, Dm_00015595-RA, Dm_00020830-RA, Dm_00021050-RA, Dm_00016972-RA, Dm_00005569-RA, Dm_00019012-RA, Dm_00015043-RA, Dm_00020426-RA, Dm_00005309-RA	Ds_00002997-RA, Ds_00017794-RA
OG0000009	Dm_00016366-RA, Dm_00013602-RA, Dm_00003524-RA, Dm_00018108-RA, Dm_00020490-RA, Dm_00015180-RA, Dm_00013754-RA, Dm_00012818-RA, Dm_00013149-RA, Dm_00012368-RA, Dm_00018270-RA, Dm_00011876-RA, Dm_00006838-RA, Dm_00009075-RA, Dm_00014900-RA	Ds_00011441-RA
OG0000011	Dm_00003465-RA	Ds_00013568-RA
OG0000011	Dm_00013516-RA	Ds_00014454-RA, Ds_00015367-RA
OG0000013	Dm_00019541-RA	Ds_00008945-RA
