Orthogroup	A_coerulea.proteins	A_hypochondriacus.proteins	A_thaliana.proteins	A_vesiculosa.proteins	B_vulgaris.proteins	D_muscipula.proteins	D_spatulata.proteins	G_max.proteins	L_sativa.proteins	P_amilis.proteins	S_lycopersicum.proteins	V_vinifera.proteins	Total
OG0000000	0	0	0	0	0	0	0	0	0	1209	0	0	1209
OG0000001	0	0	0	0	0	1130	1	2	0	0	0	0	1133
OG0000002	0	0	0	0	0	0	0	0	0	859	0	0	859
OG0000003	0	0	0	0	1	0	0	0	0	478	0	0	479
OG0000004	0	0	0	420	0	19	0	1	0	0	0	0	440
OG0000005	0	2	0	432	1	0	0	0	1	0	1	0	437
OG0000006	0	0	0	0	0	0	0	0	0	358	0	0	358
OG0000007	85	0	0	0	0	224	0	0	0	0	0	0	309
OG0000008	61	16	20	5	37	8	9	52	35	46	7	8	304
OG0000009	0	0	0	8	5	260	4	1	0	0	0	0	278
OG0000010	0	0	0	0	0	0	0	0	0	275	0	0	275
OG0000011	29	8	3	1	5	2	4	49	110	10	8	43	272
OG0000012	0	0	0	0	0	0	0	0	0	269	0	0	269
OG0000013	0	0	0	9	2	203	53	0	0	0	0	0	267
OG0000014	0	0	0	0	0	0	0	0	0	251	0	0	251
OG0000015	13	5	10	4	9	4	8	39	79	5	28	30	234
OG0000016	39	3	7	1	17	0	8	16	45	64	10	10	220
OG0000017	0	0	0	0	0	0	0	0	0	218	0	0	218
OG0000018	29	5	16	4	13	2	7	15	48	27	23	28	217
OG0000019	0	0	0	0	0	214	2	0	0	0	0	0	216
OG0000020	0	0	0	16	4	189	4	0	0	2	0	0	215
OG0000021	10	18	14	3	18	11	12	13	20	53	17	22	211
OG0000022	26	8	5	11	12	24	12	19	15	45	10	22	209
OG0000023	21	5	57	5	6	5	4	12	32	23	17	21	208
OG0000024	38	10	14	2	11	6	10	7	29	19	27	32	205
OG0000025	16	12	17	9	22	3	4	17	14	11	46	33	204
OG0000026	3	21	4	0	6	9	13	11	37	39	17	40	200
OG0000027	6	8	28	18	9	8	8	60	16	15	8	16	200
