"","OGNumber","Dionaea","go_desc"
"1","0000160","Dm_00002887-RA protein AED_0.42 eAED_0.42 QI_0|0|0|0.44|0.87|0.88|9|0|494, Dm_00004681-RA protein AED_0.16 eAED_0.16 QI_0|0|0|1|1|1|4|0|261, Dm_00005640-RA protein AED_0.23 eAED_0.28 QI_0|0|0|1|0.75|0.69|13|0|736, Dm_00005641-RA protein AED_0.45 eAED_0.57 QI_0|0|0|1|1|1|2|0|172, Dm_00005642-RA protein AED_0.19 eAED_0.19 QI_0|0|0|1|0.71|0.75|8|0|407, Dm_00010581-RA protein AED_0.23 eAED_0.23 QI_0|0|0|1|1|1|2|0|160, Dm_00013089-RA protein AED_0.17 eAED_0.17 QI_44|0|0|1|0|0.5|2|0|97, Dm_00016160-RA protein AED_0.18 eAED_0.18 QI_0|0|0|1|0.75|0.8|5|0|284, Dm_00017136-RA protein AED_0.15 eAED_0.15 QI_0|0|0|1|1|0.8|5|0|284","two-component signal transduction system (phosphorelay)"
"2","0000982","Dm_00003170-RA protein AED_0.12 eAED_0.12 QI_0|0|0|0.90|0.8|0.81|11|0|804","RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"
"3","0000987","NA","core promoter proximal region sequence-specific DNA binding"
"4","0003677","Dm_00000063-RA protein AED_0.27 eAED_0.27 QI_0|0|0|0.85|0.66|0.85|7|0|232, Dm_00002536-RA protein AED_0.34 eAED_0.34 QI_0|0|0|0.85|0.83|0.85|7|0|292","DNA binding"
"5","0003700","NA","sequence-specific DNA binding transcription factor activity"
"6","0004112","Dm_00008429-RA protein AED_0.18 eAED_0.18 QI_0|0|0|0.85|0.83|0.71|7|0|214","cyclic-nucleotide phosphodiesterase activity"
"7","0004185","Dm_00016054-RA protein AED_0.00 eAED_0.00 QI_0|-1|0|1|-1|1|1|0|368","serine-type carboxypeptidase activity"
"8","0004491","Dm_00012257-RA protein AED_0.13 eAED_0.13 QI_0|0|0|0.77|0.87|1|9|0|298","methylmalonate-semialdehyde dehydrogenase (acylating) activity"
"9","0004553","Dm_00013900-RA protein AED_0.09 eAED_0.09 QI_0|0|0|0.81|0.6|0.75|16|0|2323","hydrolase activity, hydrolyzing O-glycosyl compounds"
"10","0004722","Dm_00009004-RA protein AED_0.11 eAED_0.11 QI_0|0|0|1|0.88|1|10|0|441","protein serine/threonine phosphatase activity"
"11","0004869","Dm_00004512-RA protein AED_0.01 eAED_0.01 QI_0|-1|0|1|-1|1|1|0|706","cysteine-type endopeptidase inhibitor activity"
"12","0005618","Dm_00019904-RA protein AED_0.01 eAED_0.01 QI_0|0|0|1|1|1|3|0|945","cell wall"
"13","0005634","Dm_00020117-RA protein AED_0.09 eAED_0.09 QI_0|0|0|0.66|0.6|0.5|6|0|329","nucleus"
"14","0006073","Dm_00008477-RA protein AED_0.14 eAED_0.14 QI_0|0|0|0.85|1|1|7|0|179","cellular glucan metabolic process"
"15","0006470","Dm_00007244-RA protein AED_0.14 eAED_0.14 QI_0|0|0|0.85|1|1|7|0|501, Dm_00012576-RA protein AED_0.14 eAED_0.14 QI_0|0|0|0.85|1|1|7|0|501","protein dephosphorylation"
"16","0007165","Dm_00008313-RA protein AED_0.68 eAED_0.68 QI_0|0|0|0.5|0|0|2|0|70, Dm_00008314-RA protein AED_0.24 eAED_0.24 QI_0|0|0|1|1|1|4|0|325","signal transduction"
"17","0008152","Dm_00008274-RA protein AED_0.23 eAED_0.23 QI_0|0|0|0.84|1|1|13|0|303","metabolic process"
"18","0008270","Dm_00011573-RA protein AED_0.12 eAED_0.19 QI_0|0|0|0.89|0.72|0.78|19|0|610, Dm_00012468-RA protein AED_0.08 eAED_0.11 QI_0|0|0|1|0.47|0.61|18|0|586","zinc ion binding"
"19","0008289","Dm_00007747-RA protein AED_0.09 eAED_0.09 QI_0|0|0|1|0.75|1|5|0|288","lipid binding"
"20","0009733","Dm_00006171-RA protein AED_0.05 eAED_0.05 QI_0|0|0|0.83|0.2|0.16|6|0|281","response to auxin stimulus"
"21","0010411","NA","xyloglucan metabolic process"
"22","0016049",NA,"cell growth"
"23","0016758",NA,"transferase activity, transferring hexosyl groups"
"24","0016762",NA,"xyloglucan:xyloglucosyl transferase activity"
"25","0016925",NA,"protein sumoylation"
"26","0018024",NA,"histone-lysine N-methyltransferase activity"
"27","0019789",NA,"SUMO ligase activity"
"28","0031668",NA,"cellular response to extracellular stimulus"
"29","0034968",NA,"histone lysine methylation"
"30","0042546",NA,"cell wall biogenesis"
"31","0043169",NA,"cation binding"
"32","0045944",NA,"positive regulation of transcription from RNA polymerase II promoter"
"33","0048046",NA,"apoplast"
