Orthogroup	A_coerulea.proteins	A_thaliana.proteins
OG0000008	Aqcoe5G292100.1.p	AT4G26800.1
OG0000008	Aqcoe2G139900.1.p	AT1G12615.1
OG0000011	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p	AT4G08850.1, AT4G08850.2, AT1G35710.1
OG0000015	Aqcoe3G211700.1.p	AT4G21380.1, AT4G21380.2, AT1G65800.2, AT1G65800.1, AT1G65790.3, AT1G65790.2, AT1G65790.1
OG0000016	Aqcoe6G180900.1.p, Aqcoe6G180900.2.p, Aqcoe7G305600.1.p, Aqcoe0526s0001.1.p, Aqcoe0720s0001.1.p, Aqcoe6G180100.1.p, Aqcoe7G300400.1.p, Aqcoe6G178600.1.p, Aqcoe6G179400.1.p, Aqcoe6G179300.1.p, Aqcoe6G179700.1.p, Aqcoe4G167900.1.p, Aqcoe7G307200.1.p, Aqcoe0047s0002.1.p, Aqcoe7G307400.1.p, Aqcoe7G298000.1.p, Aqcoe0726s0001.1.p, Aqcoe7G299300.1.p, Aqcoe4G035100.1.p, Aqcoe7G315800.1.p, Aqcoe7G315700.1.p, Aqcoe7G315900.1.p, Aqcoe7G284100.1.p, Aqcoe7G307300.1.p	AT3G47110.1, AT3G47580.1, AT3G47090.1, AT3G47570.1, AT5G39390.1, AT5G20480.1, AT5G20480.2
OG0000021	Aqcoe4G117700.1.p, Aqcoe4G114000.1.p, Aqcoe4G069900.1.p, Aqcoe4G070100.1.p, Aqcoe4G070300.1.p, Aqcoe3G358600.1.p, Aqcoe3G417500.1.p, Aqcoe3G417300.1.p, Aqcoe3G417400.1.p	AT3G61040.1, AT3G61040.2, AT2G45560.2, AT2G45560.3, AT2G45560.1, AT2G45570.1, AT2G45550.1, AT1G33730.1, AT1G33730.2, AT1G33720.3, AT1G33720.5, AT1G33720.2, AT1G33720.4, AT1G33720.1
OG0000022	Aqcoe5G365600.1.p, Aqcoe5G365500.1.p, Aqcoe5G402600.1.p, Aqcoe5G368400.1.p, Aqcoe5G366200.1.p, Aqcoe5G436000.1.p, Aqcoe5G366500.1.p, Aqcoe5G366400.1.p	AT5G64950.1
OG0000023	Aqcoe6G271700.1.p, Aqcoe6G271700.2.p, Aqcoe6G271600.1.p, Aqcoe6G271800.1.p, Aqcoe6G272000.1.p, Aqcoe6G272000.2.p	AT1G33540.1, AT1G33540.2
OG0000023	Aqcoe6G319600.1.p, Aqcoe0082s0005.2.p, Aqcoe0082s0005.1.p, Aqcoe6G319300.1.p, Aqcoe6G271000.2.p, Aqcoe6G271000.1.p, Aqcoe6G270900.1.p, Aqcoe6G271400.1.p, Aqcoe6G271500.2.p, Aqcoe6G271500.1.p, Aqcoe3G372600.3.p, Aqcoe3G372600.4.p, Aqcoe3G372600.2.p, Aqcoe3G372600.1.p, Aqcoe1G409000.1.p	AT2G22920.3, AT3G10450.4, AT3G10450.2, AT3G10450.3, AT3G10450.1, AT1G73290.1, AT1G73290.2, AT1G73280.2, AT1G73290.3, AT1G73310.2, AT1G73310.1, AT1G73300.1, AT1G73280.4, AT1G73280.3, AT5G36180.3, AT5G36180.2, AT1G73310.3, AT5G36180.4, AT5G36180.5, AT1G73280.1, AT5G36180.1, AT1G73300.2, AT1G73270.1, AT1G73270.2, AT2G23010.2, AT2G23010.1, AT2G22990.4, AT2G22990.2, AT2G22990.6, AT2G22990.5, AT2G22990.3, AT2G22990.1, AT2G23000.1, AT2G23000.2, AT2G22970.4, AT2G22970.3, AT2G22920.1, AT2G22920.4, AT2G22970.2, AT2G22970.1, AT2G22980.1, AT2G22980.3, AT2G22980.5, AT2G22980.4, AT2G22980.2, AT2G22920.2, AT5G09640.1
OG0000024	Aqcoe4G121400.1.p	AT1G17060.1
