"Dm_00000013-RA",2	"Dm_00000013-RA",1
"Dm_00000028-RA",2	"Dm_00000028-RA",3
"Dm_00000048-RA",2	"Dm_00000048-RA",2
"Dm_00000052-RA",2	"Dm_00000052-RA",2
"Dm_00000057-RA",2	"Dm_00000057-RA",5
"Dm_00000092-RA",2	"Dm_00000092-RA",2
"Dm_00000156-RA",2	"Dm_00000156-RA",2
"Dm_00000163-RA",2	"Dm_00000163-RA",2
"Dm_00000215-RA",2	"Dm_00000215-RA",7
"Dm_00000239-RA",2	"Dm_00000239-RA",2
"Dm_00000240-RA",2	"Dm_00000240-RA",7
"Dm_00000262-RA",2	"Dm_00000262-RA",2
"Dm_00000264-RA",2	"Dm_00000264-RA",2
"Dm_00000265-RA",2	"Dm_00000265-RA",1
"Dm_00000268-RA",2	"Dm_00000268-RA",8
"Dm_00000283-RA",2	"Dm_00000283-RA",5
"Dm_00000295-RA",2	"Dm_00000295-RA",3
"Dm_00000296-RA",2	"Dm_00000296-RA",2
"Dm_00000303-RA",2	"Dm_00000303-RA",3
"Dm_00000316-RA",2	"Dm_00000316-RA",1
"Dm_00000345-RA",2	"Dm_00000345-RA",1
"Dm_00000365-RA",2	"Dm_00000365-RA",3
"Dm_00000389-RA",2	"Dm_00000389-RA",2
"Dm_00000395-RA",2	"Dm_00000395-RA",8
"Dm_00000408-RA",2	"Dm_00000408-RA",2
"Dm_00000414-RA",2	"Dm_00000414-RA",2
"Dm_00000488-RA",2	"Dm_00000488-RA",5
"Dm_00000501-RA",2	"Dm_00000501-RA",2
"Dm_00000519-RA",2	"Dm_00000519-RA",1
"Dm_00000520-RA",2	"Dm_00000520-RA",7
"Dm_00000524-RA",2	"Dm_00000524-RA",2
"Dm_00000526-RA",2	"Dm_00000526-RA",8
"Dm_00000542-RA",2	"Dm_00000542-RA",1
"Dm_00000558-RA",2	"Dm_00000558-RA",5
"Dm_00000575-RA",2	"Dm_00000575-RA",3
"Dm_00000608-RA",2	"Dm_00000608-RA",2
"Dm_00000609-RA",2	"Dm_00000609-RA",1
"Dm_00000618-RA",2	"Dm_00000618-RA",1
"Dm_00000624-RA",2	"Dm_00000624-RA",2
"Dm_00000651-RA",2	"Dm_00000651-RA",2
"Dm_00000672-RA",2	"Dm_00000672-RA",2
"Dm_00000673-RA",2	"Dm_00000673-RA",8
"Dm_00000722-RA",2	"Dm_00000722-RA",2
"Dm_00000749-RA",2	"Dm_00000749-RA",8
"Dm_00000764-RA",2	"Dm_00000764-RA",2
"Dm_00000779-RA",2	"Dm_00000779-RA",2
"Dm_00000791-RA",2	"Dm_00000791-RA",1
"Dm_00000864-RA",2	"Dm_00000864-RA",2
"Dm_00000869-RA",2	"Dm_00000869-RA",7
"Dm_00000885-RA",2	"Dm_00000885-RA",1
"Dm_00000968-RA",2	"Dm_00000968-RA",4
"Dm_00000991-RA",2	"Dm_00000991-RA",2
"Dm_00001016-RA",2	"Dm_00001016-RA",5
"Dm_00001027-RA",2	"Dm_00001027-RA",8
"Dm_00001035-RA",2	"Dm_00001035-RA",5
"Dm_00001065-RA",2	"Dm_00001065-RA",4
"Dm_00001079-RA",2	"Dm_00001079-RA",2
"Dm_00001083-RA",2	"Dm_00001083-RA",2
"Dm_00001084-RA",2	"Dm_00001084-RA",2
"Dm_00001113-RA",2	"Dm_00001113-RA",2
"Dm_00001135-RA",2	"Dm_00001135-RA",8
"Dm_00001189-RA",2	"Dm_00001189-RA",5
"Dm_00001205-RA",2	"Dm_00001205-RA",1
"Dm_00001225-RA",2	"Dm_00001225-RA",5
"Dm_00001241-RA",2	"Dm_00001241-RA",1
"Dm_00001245-RA",2	"Dm_00001245-RA",8
"Dm_00001258-RA",2	"Dm_00001258-RA",2
"Dm_00001259-RA",2	"Dm_00001259-RA",2
"Dm_00001263-RA",2	"Dm_00001263-RA",2
"Dm_00001282-RA",2	"Dm_00001282-RA",7
"Dm_00001294-RA",2	"Dm_00001294-RA",5
"Dm_00001295-RA",2	"Dm_00001295-RA",3
"Dm_00001296-RA",2	"Dm_00001296-RA",5
"Dm_00001319-RA",2	"Dm_00001319-RA",2
"Dm_00001363-RA",2	"Dm_00001363-RA",2
"Dm_00001369-RA",2	"Dm_00001369-RA",4
"Dm_00001386-RA",2	"Dm_00001386-RA",8
"Dm_00001397-RA",2	"Dm_00001397-RA",8
"Dm_00001455-RA",2	"Dm_00001455-RA",7
"Dm_00001463-RA",2	"Dm_00001463-RA",8
"Dm_00001478-RA",2	"Dm_00001478-RA",2
"Dm_00001492-RA",2	"Dm_00001492-RA",5
"Dm_00001511-RA",2	"Dm_00001511-RA",1
"Dm_00001545-RA",2	"Dm_00001545-RA",5
"Dm_00001554-RA",2	"Dm_00001554-RA",2
"Dm_00001624-RA",2	"Dm_00001624-RA",8
"Dm_00001629-RA",2	"Dm_00001629-RA",2
"Dm_00001645-RA",2	"Dm_00001645-RA",2
"Dm_00001717-RA",2	"Dm_00001717-RA",1
"Dm_00001740-RA",2	"Dm_00001740-RA",5
"Dm_00001760-RA",2	"Dm_00001760-RA",2
"Dm_00001804-RA",2	"Dm_00001804-RA",3
