Orthogroup	G_max.proteins	V_vinifera.proteins
OG0000008	GmISU01.18G174900.1.p, GmISU01.09G219400.2.p	VIT_214s0081g00270.1, VIT_214s0030g02280.1, VIT_214s0081g00120.1, VIT_202s0033g01375.1, VIT_214s0081g00280.1
OG0000008	GmISU01.10G002600.4.p, GmISU01.10G002600.3.p, GmISU01.10G002600.1.p, GmISU01.02G002600.1.p	VIT_212s0028g02320.1
OG0000011	GmISU01.14G044700.1.p, GmISU01.14G044300.1.p, GmISU01.14G044500.1.p, GmISU01.02G229500.1.p, GmISU01.18G194700.1.p, GmISU01.18G195400.1.p, GmISU01.18G194900.1.p, GmISU01.09G200100.1.p, GmISU01.09G199900.1.p, GmISU01.16G059100.1.p, GmISU01.16G058300.1.p, GmISU01.16G058900.1.p, GmISU01.16G058000.1.p, GmISU01.16G058100.1.p, GmISU01.16G058300.2.p, GmISU01.16G058100.2.p, GmISU01.16G058800.1.p, GmISU01.16G057900.1.p, GmISU01.16G058400.1.p, GmISU01.16G058500.1.p, GmISU01.16G057800.1.p, GmISU01.16G057700.1.p, GmISU01.19G061700.1.p, GmISU01.18G147800.2.p, GmISU01.18G147800.3.p, GmISU01.18G147800.1.p, GmISU01.18G148600.1.p, GmISU01.18G148500.1.p	VIT_212s0035g00020.1, VIT_212s0035g00080.3, VIT_212s0035g00080.2, VIT_212s0034g02580.1, VIT_212s0035g00080.1, VIT_212s0034g02570.1, VIT_212s0142g00760.1, VIT_212s0035g00180.1, VIT_212s0035g00070.1, VIT_211s0037g00680.1, VIT_212s0034g02590.1, VIT_212s0142g00780.1, VIT_212s0035g00150.1, VIT_212s0035g00110.1, VIT_212s0035g00140.1, VIT_212s0142g00800.1, VIT_213s0084g00560.1, VIT_211s0037g00660.1, VIT_211s0037g00670.1, VIT_211s0037g00690.1
OG0000011	GmISU01.18G201800.1.p, GmISU01.03G020400.1.p, GmISU01.03G020400.3.p, GmISU01.03G023800.1.p, GmISU01.18G198300.1.p, GmISU01.18G199000.1.p, GmISU01.18G199100.1.p, GmISU01.18G198900.1.p, GmISU01.18G198900.2.p, GmISU01.18G202300.1.p, GmISU01.18G198600.1.p, GmISU01.18G198700.1.p, GmISU01.18G210800.1.p	VIT_214s0108g00370.1, VIT_214s0066g02660.1, VIT_214s0066g02670.1, VIT_214s0066g02680.1, VIT_210s0042g00590.1, VIT_210s0042g00770.1, VIT_210s0042g00600.1, VIT_210s0042g00700.1, VIT_214s0108g00340.1, VIT_214s0108g00300.1, VIT_214s0108g00280.1, VIT_214s0108g00310.1, VIT_204s0079g00240.1
OG0000011	GmISU01.03G128600.1.p, GmISU01.19G132900.1.p, GmISU01.19G132800.1.p, GmISU01.03G128900.1.p, GmISU01.03G128500.2.p, GmISU01.03G129000.1.p	VIT_207s0005g04060.1, VIT_207s0005g04050.1, VIT_207s0005g04020.1, VIT_207s0005g04040.1, VIT_207s0005g04080.1, VIT_207s0005g04100.1
OG0000011	GmISU01.18G210900.1.p, GmISU01.18G198800.1.p	VIT_207s0005g04070.1, VIT_214s0108g00360.1
OG0000015	GmISU01.08G055600.2.p, GmISU01.08G055600.3.p, GmISU01.08G055600.1.p, GmISU01.15G061500.3.p, GmISU01.15G061500.4.p, GmISU01.15G061500.1.p, GmISU01.15G061500.2.p, GmISU01.13G214800.1.p	VIT_200s0353g00060.4, VIT_200s0353g00060.5, VIT_200s0353g00060.3, VIT_200s0353g00060.2, VIT_200s0353g00060.1
OG0000016	GmISU01.07G129000.1.p, GmISU01.18G148700.1.p, GmISU01.07G135800.1.p, GmISU01.09G176600.1.p, GmISU01.09G047000.2.p, GmISU01.09G047000.1.p, GmISU01.09G175700.2.p, GmISU01.09G175700.1.p, GmISU01.01G116100.1.p, GmISU01.01G118200.1.p, GmISU01.15G176300.1.p, GmISU01.03G072500.1.p, GmISU01.13G231200.1.p, GmISU01.09G176400.1.p, GmISU01.04G104000.1.p, GmISU01.01G116000.1.p	VIT_213s0067g00490.1
OG0000018	GmISU01.18G125000.1.p, GmISU01.08G313800.1.p, GmISU01.08G313900.1.p, GmISU01.08G314000.1.p, GmISU01.09G114300.1.p	VIT_205s0049g00390.1, VIT_205s0049g00400.1, VIT_205s0049g00410.1, VIT_205s0049g00420.1, VIT_212s0028g02420.2, VIT_212s0028g02420.4, VIT_212s0028g02420.3, VIT_212s0028g02410.1, VIT_212s0028g02420.1, VIT_205s0049g00370.1, VIT_200s1313g00010.2, VIT_205s0049g00340.2, VIT_205s0049g00330.1, VIT_205s0049g00340.1, VIT_200s1313g00010.1, VIT_205s0049g00350.2, VIT_205s0049g00350.1
OG0000018	GmISU01.10G007000.1.p, GmISU01.10G007000.2.p, GmISU01.10G007000.3.p, GmISU01.10G006800.1.p, GmISU01.15G213400.1.p, GmISU01.07G106200.1.p, GmISU01.03G077100.1.p	VIT_205s0049g00220.1, VIT_205s0049g00220.2, VIT_205s0049g00300.2, VIT_205s0049g00300.1, VIT_205s0049g00270.2, VIT_205s0049g00270.1, VIT_205s0049g00280.1, VIT_205s0049g00310.1
