Orthogroup	P_amilis.proteins	A_coerulea.proteins
OG0000008	FUN_051593-T1, FUN_043089-T1, FUN_036172-T1	Aqcoe5G395200.1.p, Aqcoe5G128900.1.p
OG0000008	FUN_043886-T1, FUN_047418-T1, FUN_043880-T1	Aqcoe5G292100.1.p, Aqcoe5G371800.4.p, Aqcoe5G371800.8.p, Aqcoe5G371800.6.p, Aqcoe4G095300.2.p, Aqcoe4G095300.3.p, Aqcoe5G369100.1.p, Aqcoe5G370300.3.p, Aqcoe5G371800.2.p, Aqcoe5G371800.3.p, Aqcoe5G371800.5.p, Aqcoe5G371800.7.p, Aqcoe5G368700.2.p, Aqcoe4G095300.4.p, Aqcoe5G361500.2.p, Aqcoe5G361500.1.p, Aqcoe5G361500.3.p
OG0000011	FUN_045628-T1	Aqcoe4G037600.1.p, Aqcoe4G019500.1.p, Aqcoe4G037100.1.p, Aqcoe4G037700.1.p, Aqcoe4G019600.1.p, Aqcoe4G037300.1.p, Aqcoe4G037900.1.p, Aqcoe7G310000.1.p, Aqcoe4G037800.1.p, Aqcoe4G038000.1.p, Aqcoe4G037200.1.p, Aqcoe4G037500.1.p, Aqcoe4G109700.1.p, Aqcoe4G156400.1.p, Aqcoe4G156400.2.p, Aqcoe4G037000.1.p, Aqcoe4G077100.1.p, Aqcoe4G077300.1.p, Aqcoe4G228700.1.p, Aqcoe4G039300.1.p, Aqcoe4G210900.1.p, Aqcoe4G104100.1.p, Aqcoe4G072100.1.p
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	Aqcoe5G018800.1.p, Aqcoe5G018900.1.p
OG0000015	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1	Aqcoe3G211700.1.p
OG0000015	FUN_045850-T1	Aqcoe3G250200.1.p
OG0000016	FUN_038365-T1, FUN_036994-T1	Aqcoe7G324100.1.p
OG0000016	FUN_043544-T1, FUN_017493-T1, FUN_005884-T1	Aqcoe6G180900.1.p, Aqcoe6G180900.2.p, Aqcoe7G305600.1.p, Aqcoe0526s0001.1.p, Aqcoe0720s0001.1.p, Aqcoe6G180100.1.p, Aqcoe7G300400.1.p, Aqcoe6G178600.1.p, Aqcoe6G179400.1.p, Aqcoe6G179300.1.p, Aqcoe6G179700.1.p, Aqcoe4G167900.1.p, Aqcoe7G307200.1.p, Aqcoe0047s0002.1.p, Aqcoe7G307400.1.p, Aqcoe7G298000.1.p, Aqcoe0726s0001.1.p, Aqcoe7G299300.1.p, Aqcoe4G035100.1.p, Aqcoe7G315800.1.p, Aqcoe7G315700.1.p, Aqcoe7G315900.1.p, Aqcoe7G284100.1.p, Aqcoe7G307300.1.p
OG0000016	FUN_051992-T1, FUN_041846-T1, FUN_020836-T1, FUN_052216-T1, FUN_052215-T1, FUN_052217-T1, FUN_038364-T1, FUN_004692-T1, FUN_002249-T1, FUN_020759-T1, FUN_002301-T1, FUN_002248-T1, FUN_002301-T2, FUN_002242-T1, FUN_002244-T1, FUN_018370-T1, FUN_052249-T1, FUN_002247-T1, FUN_002304-T1, FUN_043138-T1, FUN_002303-T1, FUN_045120-T1, FUN_052261-T2, FUN_052261-T1, FUN_036960-T1, FUN_036965-T1, FUN_036969-T1, FUN_036995-T1, FUN_036991-T1, FUN_036974-T1, FUN_036955-T1, FUN_036972-T1, FUN_036966-T1, FUN_036993-T1, FUN_052218-T1, FUN_036967-T1, FUN_036992-T1, FUN_036959-T1, FUN_036988-T3, FUN_036988-T1, FUN_036988-T2, FUN_036999-T1, FUN_036954-T1, FUN_036986-T1, FUN_036998-T1, FUN_036963-T1, FUN_036962-T1, FUN_036985-T1, FUN_036970-T1, FUN_017494-T1, FUN_036949-T1, FUN_036949-T2, FUN_036987-T1	Aqcoe4G174500.1.p
OG0000018	FUN_012653-T1, FUN_015188-T1	Aqcoe2G370800.1.p
