Orthogroup	P_amilis.proteins	L_sativa.proteins
OG0000008	FUN_051593-T1, FUN_043089-T1	Lsat_1_v5_gn_3_111360.3, Lsat_1_v5_gn_3_111340.3, Lsat_1_v5_gn_3_111340.1
OG0000008	FUN_036140-T1, FUN_036168-T1, FUN_036161-T1, FUN_036173-T1, FUN_036162-T1, FUN_036170-T1, FUN_036152-T1, FUN_036156-T1, FUN_036154-T1, FUN_036149-T1, FUN_036174-T1, FUN_036141-T1, FUN_036160-T1, FUN_036171-T1	Lsat_1_v5_gn_1_11620.1, Lsat_1_v5_gn_1_11620.3, Lsat_1_v5_gn_1_11600.1, Lsat_1_v5_gn_1_11600.2, Lsat_1_v5_gn_2_107460.1, Lsat_1_v5_gn_2_107460.2, Lsat_1_v5_gn_8_22501.1, Lsat_1_v5_gn_0_27560.1, Lsat_1_v5_gn_0_27560.2, Lsat_1_v5_gn_2_126841.1, Lsat_1_v5_gn_3_123361.3, Lsat_1_v5_gn_3_123361.1
OG0000011	FUN_045628-T1	Lsat_1_v5_gn_6_100741.1, Lsat_1_v5_gn_9_41461.1, Lsat_1_v5_gn_4_41280.1, Lsat_1_v5_gn_4_41340.1, Lsat_1_v5_gn_4_41240.1, Lsat_1_v5_gn_1_81560.1, Lsat_1_v5_gn_1_81560.2
OG0000011	FUN_018895-T1, FUN_018893-T1, FUN_018889-T1, FUN_018888-T1, FUN_024842-T1, FUN_024845-T1, FUN_024844-T1, FUN_024840-T1	Lsat_1_v5_gn_5_183260.1, Lsat_1_v5_gn_5_183260.6, Lsat_1_v5_gn_5_183260.3
OG0000011	FUN_018896-T1	Lsat_1_v5_gn_7_14720.1, Lsat_1_v5_gn_3_60400.3
OG0000015	FUN_008515-T1, FUN_035466-T1, FUN_035347-T1, FUN_035469-T1	Lsat_1_v5_gn_7_20161.1, Lsat_1_v5_gn_7_18821.1, Lsat_1_v5_gn_7_20121.1, Lsat_1_v5_gn_7_18801.1, Lsat_1_v5_gn_7_18781.1, Lsat_1_v5_gn_7_18721.2, Lsat_1_v5_gn_7_18721.1
OG0000015	FUN_045850-T1	Lsat_1_v5_gn_5_49520.2
OG0000016	FUN_038365-T1, FUN_036994-T1	Lsat_1_v5_gn_3_11081.1, Lsat_1_v5_gn_3_11081.3, Lsat_1_v5_gn_2_55441.1, Lsat_1_v5_gn_2_55441.3, Lsat_1_v5_gn_2_121260.1, Lsat_1_v5_gn_2_121260.2, Lsat_1_v5_gn_2_107620.1, Lsat_1_v5_gn_2_107620.3
OG0000016	FUN_005881-T2, FUN_005881-T1, FUN_043248-T1, FUN_012840-T1, FUN_037845-T1, FUN_020623-T1	Lsat_1_v5_gn_2_122720.3, Lsat_1_v5_gn_2_122720.1
OG0000016	FUN_043544-T1, FUN_017493-T1, FUN_005884-T1	Lsat_1_v5_gn_2_120441.5, Lsat_1_v5_gn_2_120721.1
OG0000016	FUN_051992-T1, FUN_041846-T1, FUN_020836-T1, FUN_052216-T1, FUN_052215-T1, FUN_052217-T1, FUN_038364-T1, FUN_004692-T1, FUN_002249-T1, FUN_020759-T1, FUN_002301-T1, FUN_002248-T1, FUN_002301-T2, FUN_002242-T1, FUN_002244-T1, FUN_018370-T1, FUN_052249-T1, FUN_002247-T1, FUN_002304-T1, FUN_043138-T1, FUN_002303-T1, FUN_045120-T1, FUN_052261-T2, FUN_052261-T1, FUN_036960-T1, FUN_036965-T1, FUN_036969-T1, FUN_036995-T1, FUN_036991-T1, FUN_036974-T1, FUN_036955-T1, FUN_036972-T1, FUN_036966-T1, FUN_036993-T1, FUN_052218-T1, FUN_036967-T1, FUN_036992-T1, FUN_036959-T1, FUN_036988-T3, FUN_036988-T1, FUN_036988-T2, FUN_036999-T1, FUN_036954-T1, FUN_036986-T1, FUN_036998-T1, FUN_036963-T1, FUN_036962-T1, FUN_036985-T1, FUN_036970-T1, FUN_017494-T1, FUN_036949-T1, FUN_036949-T2, FUN_036987-T1	Lsat_1_v5_gn_2_120801.1, Lsat_1_v5_gn_2_120441.2, Lsat_1_v5_gn_3_43541.1, Lsat_1_v5_gn_2_120781.1, Lsat_1_v5_gn_2_44620.1, Lsat_1_v5_gn_9_104161.1, Lsat_1_v5_gn_9_104161.3, Lsat_1_v5_gn_2_38141.1, Lsat_1_v5_gn_2_38141.3, Lsat_1_v5_gn_2_121160.1, Lsat_1_v5_gn_2_121060.1, Lsat_1_v5_gn_2_121060.2, Lsat_1_v5_gn_2_120901.1, Lsat_1_v5_gn_2_120901.3, Lsat_1_v5_gn_2_122340.1, Lsat_1_v5_gn_2_122340.3, Lsat_1_v5_gn_2_120441.1, Lsat_1_v5_gn_2_120741.4, Lsat_1_v5_gn_2_120821.1, Lsat_1_v5_gn_2_120441.4, Lsat_1_v5_gn_2_120741.5, Lsat_1_v5_gn_2_120501.4, Lsat_1_v5_gn_2_120501.1, Lsat_1_v5_gn_2_120461.1, Lsat_1_v5_gn_2_120461.3, Lsat_1_v5_gn_2_120861.1, Lsat_1_v5_gn_2_117861.1, Lsat_1_v5_gn_2_121001.1, Lsat_1_v5_gn_2_122160.2, Lsat_1_v5_gn_2_122160.3, Lsat_1_v5_gn_2_122160.1, Lsat_1_v5_gn_2_120701.1, Lsat_1_v5_gn_2_120741.1
