"","Orthogroup","A_coerulea.proteins","A_hypochondriacus.proteins","A_thaliana.proteins","A_vesiculosa.proteins","B_vulgaris.proteins","D_muscipula.proteins","D_spatulata.proteins","G_max.proteins","L_sativa.proteins","P_amilis.proteins","S_lycopersicum.proteins","V_vinifera.proteins"
"1","OG0000874",NA,NA,NA,"Av_00002330-RA, Av_00003254-RA, Av_00003485-RA, Av_00006571-RA, Av_00006790-RA, Av_00008078-RA, Av_00009632-RA, Av_00010784-RA, Av_00010789-RA, Av_00012088-RA, Av_00012460-RA, Av_00013430-RA, Av_00013534-RA, Av_00016232-RA, Av_00016459-RA, Av_00016603-RA, Av_00016664-RA, Av_00016855-RA, Av_00017171-RA, Av_00017185-RA, Av_00017633-RA, Av_00017779-RA, Av_00017782-RA, Av_00017877-RA, Av_00018070-RA, Av_00018078-RA, Av_00018390-RA, Av_00018768-RA, Av_00019174-RA, Av_00019320-RA, Av_00019770-RA, Av_00020401-RA, Av_00021523-RA, Av_00021705-RA, Av_00021899-RA, Av_00022039-RA, Av_00022082-RA, Av_00022394-RA, Av_00022463-RA, Av_00023616-RA, Av_00023814-RA, Av_00023962-RA, Av_00024000-RA, Av_00024485-RA, Av_00024514-RA, Av_00024614-RA, Av_00024620-RA, Av_00024901-RA, Av_00024919-RA",NA,"Dm_00007637-RA, Dm_00007755-RA, Dm_00010847-RA, Dm_00014852-RA, Dm_00017968-RA","Ds_00011115-RA",NA,NA,NA,NA,NA
"2","OG0016039",NA,NA,NA,"Av_00001046-RA, Av_00004454-RA, Av_00016842-RA, Av_00022545-RA",NA,"Dm_00004653-RA","Ds_00007896-RA, Ds_00009810-RA",NA,NA,NA,NA,NA
"3","OG0016047",NA,NA,NA,"Av_00011516-RA",NA,"Dm_00008367-RA","Ds_00008361-RA, Ds_00009695-RA, Ds_00010433-RA, Ds_00011079-RA, Ds_00013532-RA",NA,NA,NA,NA,NA
"4","OG0016057",NA,NA,NA,"Av_00013312-RA, Av_00013313-RA",NA,"Dm_00003523-RA, Dm_00003525-RA","Ds_00004961-RA, Ds_00010100-RA, Ds_00015514-RA",NA,NA,NA,NA,NA
"5","OG0016972",NA,NA,NA,"Av_00006260-RA, Av_00006261-RA, Av_00017567-RA",NA,"Dm_00005784-RA, Dm_00006930-RA","Ds_00000146-RA",NA,NA,NA,NA,NA
"6","OG0016980",NA,NA,NA,"Av_00006883-RA, Av_00009981-RA, Av_00009982-RA, Av_00024540-RA",NA,"Dm_00001349-RA","Ds_00000540-RA",NA,NA,NA,NA,NA
"7","OG0016982",NA,NA,NA,"Av_00003270-RA",NA,"Dm_00014654-RA, Dm_00018432-RA","Ds_00002806-RA, Ds_00009285-RA, Ds_00016248-RA",NA,NA,NA,NA,NA
"8","OG0016997",NA,NA,NA,"Av_00022624-RA",NA,"Dm_00006815-RA, Dm_00013124-RA, Dm_00013125-RA, Dm_00013126-RA","Ds_00014693-RA",NA,NA,NA,NA,NA
"9","OG0016999",NA,NA,NA,"Av_00008985-RA",NA,"Dm_00017165-RA","Ds_00007671-RA, Ds_00011152-RA, Ds_00016679-RA, Ds_00017795-RA",NA,NA,NA,NA,NA
"10","OG0018234",NA,NA,NA,"Av_00003492-RA, Av_00008072-RA",NA,"Dm_00001203-RA, Dm_00002565-RA","Ds_00005724-RA",NA,NA,NA,NA,NA
